id,query,ground_truth_short,ground_truth_full,relevant_id,difficulty,answer_type,,,,,,,,,,
1,وادی ہنزہ کہاں واقع ہے؟,گلگت بلتستان میں,وادی ہنزہ پاکستان کے صوبے گلگت بلتستان میں واقع ہے۔,1,easy,factual,,,,,,,,,,
2,وادی ہنزہ کس پہاڑی سلسلے کے دامن میں ہے؟,کوہ قراقرم کے دامن میں,کوہ قراقرم کے دامن میں دریائے ہنزہ کے کنارے پھیلی ہوئی ہے,1,easy,factual,,,,,,,,,,
3,وادی ہنزہ کس دریا کے ساتھ پھیلی ہوئی ہے؟,دریائے ہنزہ کے کنارے,وادی ہنزہ دریائے ہنزہ کے ساتھ پھیلی ہوئی ہے۔,1,easy,factual,,,,,,,,,,
4,وادی ہنزہ کیوں مشہور ہے؟,پہاڑی مناظر باغات اور قدیم قلعوں کی وجہ سے,"وادی ہنزہ اپنے شاندار پہاڑی مناظر، پھلوں کے باغات اور قدیم قلعوں کی وجہ سے مشہور ہے۔",1,medium,list-recall,,,,,,,,,,
5,وادی ہنزہ کی سطح سمندر سے بلندی کتنی ہے؟,تقریبا 2438 میٹر,وادی ہنزہ کی سطح سمندر سے بلندی تقریبا 2438 میٹر ہے۔,2,easy,factual,,,,,,,,,,
6,وادی ہنزہ کی سرحدیں کن کن علاقوں سے ملتی ہیں؟,اشکومن شگر واخان کوریڈور اور سنکیانگ,"وادی ہنزہ کی سرحدیں شمال مغرب میں اشکومن، جنوب مشرق میں شگر، شمال میں واخان کوریڈور اور شمال مشرق میں سنکیانگ سے ملتی ہیں۔",2,medium,list-recall,,,,,,,,,,
7,وادی ہنزہ نگر ویلی سے کیسے ملتی ہے؟,ہسپر اور ہنزہ دریاؤں کے سنگم کے بعد,وادی ہنزہ ہسپر اور ہنزہ دریاؤں کے سنگم کے بعد نگر ویلی سے مل جاتی ہے۔,2,medium,list-recall,,,,,,,,,,
8,اسلام سے پہلے وادی ہنزہ میں کون سے مذاہب رائج تھے؟,بدھ مت اور بون مذہب,اسلام سے پہلے وادی ہنزہ میں بدھ مت اور کسی حد تک بون مذہب رائج تھے۔,3,easy,factual,,,,,,,,,,
9,ہنزہ کی مقدس چٹان اور وادی ہنزہ کی دیگر چٹانوں پر کون سے رسم الخط ملتے ہیں؟,براہمی رسم الخط اور خروشتی رسم الخط,"وادی ہنزہ کی چٹانوں پر قدیم براہمی رسم الخط میں تحریریں موجود ہیں، جبکہ ہنزہ کی مقدس چٹان پر خاص طور پر خروشتی رسم الخط میں تحریریں پائی جاتی ہیں۔","3,5",hard,multi-source,,,,,,,,,,
10,اسلام سے پہلے وادی ہنزہ میں رائج مذہب اور مقدس چٹان پر موجود آثار مل کر اس خطے کی قدیم تہذیب کے بارے میں کیا ظاہر کرتے ہیں؟,"ہنزہ میں بدھ مت رائج تھا اور مقدس چٹان پر بدھ مت سے متعلق آثار، خروشتی تحریریں اور قدیم نقوش موجود ہیں۔","اسلام سے پہلے وادی ہنزہ میں بدھ مت رائج تھا اور ہنزہ کی مقدس چٹان اس کا اہم نشان ہے۔ اس چٹان پر گھڑ سواروں اور آئبیکس کی تصویریں، خروشتی رسم الخط میں تحریریں اور کُشان دور کے نقوش موجود ہیں۔","3,5",hard,multi-source,,,,,,,,,,
11,وادی ہنزہ کی جغرافیائی سرحدیں اور اس کا محلِ وقوع اسے تاریخی تجارتی راستوں کے لیے کیوں اہم بناتا تھا؟,ہنزہ اہم سرحدی علاقوں سے ملتی تھی اور وسطی ایشیا و برصغیر کے تجارتی راستوں کا حصہ تھی۔,"وادی ہنزہ کی سرحدیں اشکومن، شگر، واخان کوریڈور اور سنکیانگ سے ملتی ہیں۔ یہ وسطی ایشیا اور برصغیر کو ملانے والے تجارتی راستوں کے نیٹ ورک میں اہم تھی اور بدھ راہبوں کے لیے محفوظ راستہ بھی فراہم کرتی تھی۔","2,4",hard,multi-source,,,,,,,,,,
12,وادی ہنزہ کی سرحدیں اور اس سے گزرنے والے تاریخی راستے مل کر اس کی علاقائی اہمیت کو کیسے واضح کرتے ہیں؟,ہنزہ اہم سرحدی علاقوں سے ملتی تھی اور تاریخی تجارتی راستوں میں اہم مقام رکھتی تھی۔,"وادی ہنزہ کی سرحدیں اشکومن، شگر، واخان کوریڈور اور سنکیانگ سے ملتی ہیں۔ یہ وسطی ایشیا اور برصغیر کو ملانے والے تجارتی راستوں کے نیٹ ورک میں اہم تھی اور بدھ راہبوں کے لیے محفوظ راستہ بھی فراہم کرتی تھی۔","2,4",hard,multi-source,,,,,,,,,,
