id,model,question,true_answer,baseline_answer,rag_answer,difficulty,answer_type,context,f1_baseline_mbert,f1_rag_mbert,f1_baseline_xlm,f1_rag_xlm,f1_delta_mbert,f1_delta_xlm,script_mismatch_diagnostic_only
1,qwen,وادی ہنزہ کہاں واقع ہے؟,وادی ہنزہ پاکستان کے صوبے گلگت بلتستان میں واقع ہے۔,وادی ہنزہ اس مشرقی جغرافیہ سے متعلق ہے۔ اس نے پنجاب، اریش، اور بھارت میں تکمیل شدہ ہندوستان کے ایک اہم انتظامی وادی ہے۔ اس نے اپنے ملک کے اہم علاقائی اہ,وادی ہنزہ کے گلگت بلتستان میں واقع ہے۔,easy,factual,"وادی ہنزہ پاکستان کے صوبے گلگت بلتستان میں واقع ایک خوبصورت پہاڑی وادی ہے۔ یہ کوہ قراقرم کے دامن میں دریائے ہنزہ کے کنارے پھیلی ہوئی ہے۔ ہنزہ اپنے شاندار پہاڑی مناظر، پھلوں کے باغات اور قدیم قلعوں کی وجہ سے مشہور ہے اور پاکستان کے مقبول ترین سیاحتی مقامات میں شمار ہوتی ہے

وادی ہنزہ دریائے ہنزہ کے ساتھ پھیلی ہوئی ہے۔ اس کی سرحدیں شمال مغرب میں اشکومن، جنوب مشرق میں شگر، شمال میں افغانستان کے واخان کوریڈور اور شمال مشرق میں چین کے سنکیانگ سے ملتی ہیں۔ یہ وادی ہسپر اور ہنزہ دریاؤں کے سنگم کے بعد نگر ویلی سے مل جاتی ہے۔ اس کی سطح سمندر سے بلندی تقریباً 2438 میٹر ہے۔ جغرافیائی طور پر اسے تین حصوں میں تقسیم کیا جاتا ہے: اپر ہنزہ (گوجال)، سنٹرل ہنزہ اور لوئر ہنزہ (شناکی)

وادی ہنزہ اسلام آباد سے تقریباً 600 سے 650 کلومیٹر کے فاصلے پر واقع ہے۔ سڑک کا سفر رکاوٹوں اور سڑک کے حالات کے مطابق 12 سے 16 گھنٹے تک لگتا ہے اور یہ سفر شاہراہ قراقرم کے ذریعے پہاڑوں، دریاؤں، سرنگوں اور چھوٹے قصبوں سے گزرتا ہے۔ اسلام آباد، لاہور اور راولپنڈی سے گلگت اور ہنزہ کے لیے روزانہ کئی بس سروسز چلتی ہیں جن میں فیصل موورز، سکائی ویز اور کوہستان ایکسپریس شامل ہیں۔ یہ بسیں مسافروں کو گلگت یا ہنزہ کے علی آباد میں اتارتی ہیں جہاں سے مقامی وین یا ٹیکسی کریم آباد تک لے جاتی ہے۔ متبادل طور پر اسلام آباد سے گلگت ایئرپورٹ تک پروازیں بھی دستیاب ہیں جہاں سے ہنزہ 2 سے 3 گھنٹے کی ڈرائیو پر ہے۔ پروازیں موسمی حالات پر منحصر ہیں اور تاخیر یا منسوخی کا شکار ہو سکتی ہیں۔",0.68488746881485,0.897363841533661,0.882112383842468,0.963012516498566,0.21247637271881104,0.08090013265609797,False
9,qwen,ہنزہ کی مقدس چٹان اور وادی ہنزہ کی دیگر چٹانوں پر کون سے رسم الخط ملتے ہیں؟,وادی ہنزہ کی چٹانوں پر قدیم براہمی رسم الخط میں تحریریں موجود ہیں، جبکہ ہنزہ کی مقدس چٹان پر خاص طور پر خروشتی رسم الخط میں تحریریں پائی جاتی ہیں۔,"ہنزہ کی مقدس چٹان ""چھنگ"" ہے۔ اس کی دیگر چٹانوں کا رسم خط ""چھنگ"" ہے۔",پیٹروگلفس چٹانوں پر کُشان دور کی تحریریں بھی موجود ہیں جو ہنزہ اور گلگت کے علاقوں پر ساکا اور کُشان کی بالادستی کو ظاہر کرتی ہیں,hard,multi-source,"ہنزہ کی مقدس چٹان پر گھڑ سواروں اور آئبیکس کی تصویریں (پیٹروگلفس) موجود ہیں اور اس پر خروشتی رسم الخط میں تحریریں بھی ہیں جن میں ساکا اور پہلوا حکمرانوں کے نام درج ہیں۔ اس چٹان پر کُشان دور کی تحریریں بھی موجود ہیں جو ہنزہ اور گلگت کے علاقوں پر ساکا اور کُشان کی بالادستی کو ظاہر کرتی ہیں

اسلام سے پہلے وادی ہنزہ میں بدھ مت اور کسی حد تک بون مذہب رائج تھے۔ اس علاقے میں بدھ مت کے آثار موجود ہیں جیسے ہنزہ کی مقدس چٹان۔ بعد میں زیادہ تر آبادی نے اسلام قبول کر لیا اور زیادہ تر لوگ اسماعیلی مسلک سے تعلق رکھتے ہیں۔ وادی ہنزہ میں قدیم براہمی رسم الخط میں چٹانوں پر تحریریں موجود ہیں جو بدھ راہبوں نے عبادت اور ثقافت کے اظہار کے لیے بنائیں

ضلع ہنزہ 11,695 مربع کلومیٹر کے رقبے پر محیط ایک سابقہ شاہی ریاست ہے۔ یہاں التیت اور بلتیت قلعے، تاریخی پولو گراؤنڈ، واچ ٹاورز اور مساجد جیسے ثقافتی ورثے موجود ہیں۔ گنیش میں مشہور ہلدیکش مقدس چٹانیں بھی اہم آثار قدیمہ میں شامل ہیں",0.71985137462616,0.72650146484375,0.901516377925873,0.89460563659668,0.006650090217589999,-0.006910741329193004,False
11,qwen,وادی ہنزہ کی جغرافیائی سرحدیں اور اس کا محلِ وقوع اسے تاریخی تجارتی راستوں کے لیے کیوں اہم بناتا تھا؟,وادی ہنزہ کی سرحدیں اشکومن، شگر، واخان کوریڈور اور سنکیانگ سے ملتی ہیں۔ یہ وسطی ایشیا اور برصغیر کو ملانے والے تجارتی راستوں کے نیٹ ورک میں اہم تھی اور بدھ راہبوں کے لیے محفوظ راستہ بھی فراہم کرتی تھی۔,وادی ہنزہ کی جغرافیائی سرحدیں اور اس کا محلِ وقوع اسے تاریخی تجارتی راستوں کے لیے اہم بناتا تھا، اپنی مکمل جغرافیا کی نسبت کے لئے۔ اس واقعیت کی مکمل جغرافیا کے لئے، اسے پنجابی عربیوں کی اصل تجاری راستوں کے لئے بھی اہم بناتا تھا۔ ا,وادی ہنزہ کی جغرافیائی سرحدیں اور اس کا محلِ وقوع اسے تاریخی تجارتی راستوں کے لیے کیوں اہم بناتا تھا، چاہے آبادی، تجارت و سفر کے لیے تاریخی اہمیت کے ح,hard,multi-source,"وادی ہنزہ وسطی ایشیا اور برصغیر کو ملانے والے تجارتی راستوں کے نیٹ ورک میں اہم تھی۔ یہ بدھ راہبوں کے لیے محفوظ راستہ بھی فراہم کرتی تھی اور بدھ مت کے پھیلاؤ میں کردار ادا کرتی تھی۔ مورخ احمد حسن دانی کے مطابق ساکا (سکھی) لوگوں نے قراقرم راستے کے ذریعے ٹیکسلا پر حملہ کیا-

قراقرم ہائی وے کے قائم ہونے سے پہلے یہ گزرگاہیں پاکستان اور ہندوستان کو تاشقرغان سے ملانے والے کارواں کے روایتی راستوں کے طور پر استعمال ہوتی تھیں۔ یہ راستے تجارت اور سفر کے لیے تاریخی اہمیت کے حامل تھے

وادی ہنزہ پاکستان کے صوبے گلگت بلتستان میں واقع ایک خوبصورت پہاڑی وادی ہے۔ یہ کوہ قراقرم کے دامن میں دریائے ہنزہ کے کنارے پھیلی ہوئی ہے۔ ہنزہ اپنے شاندار پہاڑی مناظر، پھلوں کے باغات اور قدیم قلعوں کی وجہ سے مشہور ہے اور پاکستان کے مقبول ترین سیاحتی مقامات میں شمار ہوتی ہے",0.705854475498199,0.70594984292984,0.873616874217987,0.877683281898499,9.536743164095807e-05,0.00406640768051203,False
14,qwen,تجارتی لحاظ سے وادی ہنزہ کن دو خطوں کو ملاتی تھی؟,وادی ہنزہ وسطی ایشیا اور برصغیر کو ملانے والے تجارتی راستوں کے نیٹ ورک میں اہم تھی۔,د اسپینج کا نام ہنزہ کن دو خطوں کو ملاتی تھی۔,وادی ہنزہ وادی ہنسپر اور ہنسہ دریائے کے بعد نگر ویلی سے مل جاتی ہے۔,easy,factual,"وادی ہنزہ وسطی ایشیا اور برصغیر کو ملانے والے تجارتی راستوں کے نیٹ ورک میں اہم تھی۔ یہ بدھ راہبوں کے لیے محفوظ راستہ بھی فراہم کرتی تھی اور بدھ مت کے پھیلاؤ میں کردار ادا کرتی تھی۔ مورخ احمد حسن دانی کے مطابق ساکا (سکھی) لوگوں نے قراقرم راستے کے ذریعے ٹیکسلا پر حملہ کیا-

وادی ہنزہ دریائے ہنزہ کے ساتھ پھیلی ہوئی ہے۔ اس کی سرحدیں شمال مغرب میں اشکومن، جنوب مشرق میں شگر، شمال میں افغانستان کے واخان کوریڈور اور شمال مشرق میں چین کے سنکیانگ سے ملتی ہیں۔ یہ وادی ہسپر اور ہنزہ دریاؤں کے سنگم کے بعد نگر ویلی سے مل جاتی ہے۔ اس کی سطح سمندر سے بلندی تقریباً 2438 میٹر ہے۔ جغرافیائی طور پر اسے تین حصوں میں تقسیم کیا جاتا ہے: اپر ہنزہ (گوجال)، سنٹرل ہنزہ اور لوئر ہنزہ (شناکی)

وادی ہنزہ کی آب و ہوا اور بلندی مختلف پھلوں اور خشک میوہ جات کی کاشت کے لیے موزوں سمجھی جاتی ہے۔ یہاں بادام، اخروٹ، خوبانی، انگور اور مقامی قسم کے سفرجل پیدا کیے جاتے ہیں۔ مقامی دکانوں اور کریم آباد بازار میں یہ اشیا عام طور پر دستیاب ہوتی ہیں۔ ان میں سے بعض مصنوعات پاکستان کے دیگر شہروں تک بھی پہنچائی جاتی ہیں جس کے باعث مقامی منڈیوں میں ان کی قیمتیں نسبتاً مناسب رہتی ہیں۔",0.719065248966217,0.734394669532776,0.885947287082672,0.888592600822449,0.015329420566558949,0.0026453137397769444,False
33,qwen,عطا آباد جھیل پر جانے والے سیاح کیا کیا کر سکتے ہیں؟,عطا آباد جھیل پر سیاح بوٹنگ، جیٹ سکینگ اور فشینگ جیسی سرگرمیوں سے لطف اندوز ہو سکتے ہیں۔,"عطا آباد جھیل پر جانے والے سیاح کیا کیا کر سکتے ہیں:

1. اس میں بھیک نشیدنی واقعہ ہے۔

2. اس میں دوسرے قومی علاقے کے تجارتی اور خدمات کی اقدامات کی چاہئے۔

3. اس میں ایک ایک میٹر سینٹر موجود ہے جس میں مختلف خدمات کی اقدامات کی چاہئے۔",سیاح جھیل کا دورہ کر سکتے ہیں جبکہ کنارے پر مختصر کشتی کی سواریاں بھی دستیاب ہیں۔,medium,list-recall,"عطا آباد جھیل اپنے چمکدار نیلے پانی اور آبی کھیلوں کی وجہ سے سب سے مشہور سیاحتی مقام ہے۔ التیت اور بلتیت قلعے تاریخ سے محبت کرنے والوں کے لیے منفرد مقامات ہیں۔ ڈوئکر گاؤں طلوع اور غروب آفتاب دیکھنے کے لیے بہترین جگہ ہے۔ عطا آباد جھیل پر بوٹنگ، جیٹ سکینگ اور فشینگ جیسی سرگرمیاں دستیاب ہیں۔ وادی پاسو اور گلمٹ ویلی بھی اپنے دلکش مناظر کے لیے مشہور ہیں

عطاء آباد جھیل، جسے اٹہ آباد جھیل بھی کہا جاتا ہے، 2010 میں ہونے والے لینڈ سلائیڈ کے بعد وجود میں آئی۔ یہ جھیل ہنزہ کے قریب واقع ہے اور اس کے اطراف قراقرم کے بلند اور چٹانی پہاڑی مناظر پائے جاتے ہیں۔ جھیل کا نیلا پانی اس کی نمایاں خصوصیات میں شمار ہوتا ہے۔ دن کے وقت سیاح جھیل کا دورہ کر سکتے ہیں جبکہ کنارے پر مختصر کشتی کی سواریاں بھی دستیاب ہیں۔

عطاء آباد جھیل کے کنارے کئی کیمپنگ زونز موجود ہیں جہاں مقامی دکانداروں سے کیمپنگ کا سامان اور کشتیاں کرائے پر لی جا سکتی ہیں۔ بہترین تجربے کے لیے غروب آفتاب سے پہلے پہنچنا تجویز کیا جاتا ہے۔ اس علاقے میں موبائل نیٹ ورک کا سگنل کمزور ہے۔ جھیل کے قریب چھوٹے کیفے گرم کھانا فراہم کرتے ہیں۔",0.691570997238159,0.727466404438019,0.883101165294647,0.896881937980652,0.03589540719986006,0.013780772686004972,False
39,qwen,درہ خنجراب سردیوں میں کیوں بند رہتا ہے؟,درہ خنجراب سردیوں میں سخت موسم کی وجہ سے بند رہتا ہے۔,"بند رہتا ہے جسے ""خنجراب سرد"" ہوتا ہے۔ اس نے پیدائش کے دوران چھوٹے تک ہمیشہ دوسرے کیوں بند رہا ہوئے گیا۔ اس کی وفات کے بعد، اس کی بند کیا گیا ہے۔",درہ سردیوں میں سخت موسم کی وجہ سے بند رہتا ہے.,easy,factual,"خنجراب نام مقامی وخی زبان کے دو الفاظ سے ماخوذ ہے جن کا مطلب خون کی وادی ہے۔ یہ نام اس علاقے کے مشکل خطوں اور تاریخ کی عکاسی کرتا ہے۔ درہ سردیوں میں سخت موسم کی وجہ سے بند رہتا ہے

خنجراب درہ پاک چین سرحد پر 16,000 فٹ سے کچھ زیادہ یعنی تقریباً 4,693 میٹر کی بلندی پر واقع ہے۔ درے تک جانے والی سڑک کے آخری حصے میں تیز موڑ ہیں اور سڑک کی سطح برفیلی ہو سکتی ہے۔ راستے میں ایک پولیس چیک پوسٹ موجود ہے۔ پارکنگ ایریا سے سرحدی دروازہ تقریباً 500 میٹر آگے ہے۔ یہ دروازہ ایک بڑا سوویت طرز کا چوکور پتھر کا ڈھانچہ ہے جو چین کے صوبے سنکیانگ کے داخلے کی نشاندہی کرتا ہے۔ درے پر درجہ حرارت منفی 25 ڈگری سیلسیس تک گر سکتا ہے۔

سوست تک پہنچنے کے لیے اسلام آباد سے گلگت پرواز کر کے شاہراہ قراقرم کے ذریعے سوست پہنچا جا سکتا ہے۔ چین کی جانب سے کاشغر یا ارومچی سے پرواز کر کے خنجراب پاس عبور کر کے بھی سوست پہنچا جا سکتا ہے۔ سردیوں میں شدید برف باری کی وجہ سے خنجراب پاس بند رہتا ہے",0.700744330883026,0.934249043464661,0.86325079202652,0.951678931713104,0.23350471258163497,0.08842813968658403,False
41,qwen,سوست قراقرم ہائی وے پر کس حیثیت سے جانا جاتا ہے؟,سوست قراقرم ہائی وے پر خنجراب پاس سے پہلے واقع آخری پاکستانی قصبہ ہے۔,سوست قراقرم ہائی وے اپنی مزید معلومات کو نہیں دیکھتا ہے۔ اس کی مزید معلومات کو بیٹنے والے افراد کو بھی لینے والے ہیں۔,سواری و سفر کے لیے ایک اہم پڑاؤ ہے جہاں لذیذ روایتی پاکستانی کھانے ملتے ہیں۔,easy,factual,"سوست پاکستان کے گلگت بلتستان کے ضلع گوجال ہنزہ میں سطح سمندر سے 2,800 میٹر کی بلندی پر واقع ایک خوبصورت سیاحتی مقام ہے۔ یہ شاہراہ قراقرم پر گلگت شہر سے 184 کلومیٹر کے فاصلے پر واقع ہے۔ سوست قراقرم ہائی وے پر آخری پاکستانی قصبہ ہے جو خنجراب پاس سے پہلے واقع ہے

سوست تک پہنچنے کے لیے اسلام آباد سے گلگت پرواز کر کے شاہراہ قراقرم کے ذریعے سوست پہنچا جا سکتا ہے۔ چین کی جانب سے کاشغر یا ارومچی سے پرواز کر کے خنجراب پاس عبور کر کے بھی سوست پہنچا جا سکتا ہے۔ سردیوں میں شدید برف باری کی وجہ سے خنجراب پاس بند رہتا ہے

سوست، خنجراب درے کی جانب جانے والے مسافروں کے لیے ایک اہم پڑاؤ ہے جہاں لذیذ روایتی پاکستانی کھانے ملتے ہیں۔ جو لوگ گوشت پرہیز کرتے ہیں یا سبزیاں پسند کرتے ہیں، ان کے لیے یہاں راجما، پیلی اور کالی دال، اور آلو کا سالن دستیاب ہے۔ یہ کھانے عموماً گرما گرم روٹی، تازہ لال پیاز اور ہری مرچ کے ساتھ پیش کیے جاتے ہیں۔ قصبے میں موجود ایک بڑا پیٹرول اسٹیشن یہاں کی نمایاں نشانی ہے",0.707285463809967,0.674278318881989,0.867486596107483,0.842215359210968,-0.03300714492797807,-0.025271236896515004,False
48,qwen,درہ خنجراب کو 'گیٹ وے ٹو چائنا' کیوں کہا جاتا ہے اور اس کی جغرافیائی خصوصیت کیا ہے؟,"درہ خنجراب 4,693 میٹر کی بلندی پر واقع دنیا کی بلند ترین بین الاقوامی سرحدی گزرگاہوں میں سے ایک ہے جو پاکستان کے گلگت بلتستان کو چین کے سنکیانگ سے ملاتا ہے، اس لیے اسے 'گیٹ وے ٹو چائنا' کہا جاتا ہے۔","دہ رخاب کو ""گیٹ وے ٹو چائنا"" کیوں کہا جاتا ہے، اس سے متعلق دہ رخاب کی جغرافیائی خصوصیت کیا ہے۔

ایک اردو زبان کے لئے بھی اس مزید تفصیلات:

1. ""گیٹ وے"" نے اس کی جغرافیائی خصوصیت کو بھی مشخص کیا جاتا ہے۔ اس میں پانچ کیونکو موجود","درہ خنجراب کو ""گیٹ وے ٹو چائنا"" کیوں کہا جاتا ہے، لیکن اس کی جغرافیائی خصوصیت سرحد کی بلندی کی 4,693 میٹر کی قیمت سے ہے۔",medium,list-recall,"درہ خنجراب پاکستان کے گلگت بلتستان کے ضلع ہنزہ کے گاؤں سوست میں واقع ہے۔ یہ 4,693 میٹر کی بلندی پر واقع دنیا کی بلند ترین بین الاقوامی سرحدی گزرگاہوں میں سے ایک ہے۔ یہ درہ پاکستان کے گلگت بلتستان کو چین کے سنکیانگ سے ملاتا ہے اور اسے ""گیٹ وے ٹو چائنا"" بھی کہا جاتا ہے

خنجراب نام مقامی وخی زبان کے دو الفاظ سے ماخوذ ہے جن کا مطلب خون کی وادی ہے۔ یہ نام اس علاقے کے مشکل خطوں اور تاریخ کی عکاسی کرتا ہے۔ درہ سردیوں میں سخت موسم کی وجہ سے بند رہتا ہے

خنجراب درہ پاک چین سرحد پر 16,000 فٹ سے کچھ زیادہ یعنی تقریباً 4,693 میٹر کی بلندی پر واقع ہے۔ درے تک جانے والی سڑک کے آخری حصے میں تیز موڑ ہیں اور سڑک کی سطح برفیلی ہو سکتی ہے۔ راستے میں ایک پولیس چیک پوسٹ موجود ہے۔ پارکنگ ایریا سے سرحدی دروازہ تقریباً 500 میٹر آگے ہے۔ یہ دروازہ ایک بڑا سوویت طرز کا چوکور پتھر کا ڈھانچہ ہے جو چین کے صوبے سنکیانگ کے داخلے کی نشاندہی کرتا ہے۔ درے پر درجہ حرارت منفی 25 ڈگری سیلسیس تک گر سکتا ہے۔",0.677897274494171,0.767026603221893,0.862882375717163,0.909974873065948,0.08912932872772195,0.04709249734878507,False
50,qwen,درہ خنجراب کے نام کا مطلب اور اس کی موسمی صورتحال اس علاقے کے بارے میں کیا بتاتے ہیں؟,خنجراب کا مطلب خون کی وادی ہے جو اس علاقے کے مشکل خطوں کی عکاسی کرتا ہے اور یہی سختی سردیوں میں درے کی بندش کی وجہ بھی بنتی ہے۔,"درہ خنجراب کے نام کا مطلب اپنے نام سے، ""خنجر"" کو ""درہ"" کے جانچ کرنے والے پھول رنگ کا نام دیا جاتا ہے۔

اس کی موسمی صورتحال اس علاقے کے بارے میں:

1. درہ خنجراب کے نام کا مطلب اپنے نام سے، ""خنجر"" کو ""درہ"" کے جانچ کرنے والے پھول رنگ کا نام دیا جات",خنجراب نام اس علاقے کے مشکل خطوں اور تاریخ کی عکاسی کرتا ہے۔ موسمی صورتحال میں، درہ سردیوں میں سخت موسم کی وجہ سے بند رہتا ہے۔,medium,list-recall,"خنجراب نام مقامی وخی زبان کے دو الفاظ سے ماخوذ ہے جن کا مطلب خون کی وادی ہے۔ یہ نام اس علاقے کے مشکل خطوں اور تاریخ کی عکاسی کرتا ہے۔ درہ سردیوں میں سخت موسم کی وجہ سے بند رہتا ہے

خنجراب درے کی طرف سفر کرتے ہوئے بلندی میں اضافے کے ساتھ ہوا کا دباؤ اور آکسیجن کی مقدار کم ہو جاتی ہے۔ اس صورتِ حال میں مسافروں کو پانی مناسب مقدار میں پینے، آہستہ چلنے اور ہلکی غذا یا خشک میوہ جات استعمال کرنے کا مشورہ دیا جاتا ہے۔ مقامی روایت کے مطابق خوبانی بلندی سے متعلق چکر آنے کی کیفیت کم کرنے میں مددگار سمجھی جاتی ہے۔

درہ خنجراب پاکستان کے گلگت بلتستان کے ضلع ہنزہ کے گاؤں سوست میں واقع ہے۔ یہ 4,693 میٹر کی بلندی پر واقع دنیا کی بلند ترین بین الاقوامی سرحدی گزرگاہوں میں سے ایک ہے۔ یہ درہ پاکستان کے گلگت بلتستان کو چین کے سنکیانگ سے ملاتا ہے اور اسے ""گیٹ وے ٹو چائنا"" بھی کہا جاتا ہے",0.657877862453461,0.809369325637817,0.835944890975952,0.91785454750061,0.15149146318435602,0.08190965652465798,False
52,qwen,بوریت جھیل کے کنارے میر آف ہنزہ کے لیے بنایا گیا چھوٹا مکان آج کس نام سے جانا جاتا ہے؟,جھیل کے کنارے پہاڑی پر میر کے لیے بنایا گیا چھوٹا مکان آج بوریت لیک ہوٹل کے نام سے جانا جاتا ہے۔,"آج کس نام سے بوریت جھیل کے کنارے میر آف ہنزہ کے لیے بنایا گیا چھوٹا مکان جانا جاتا ہے۔ اس مکان کا نام ""پریشین"" ہے۔",بوریت لیک ہوٹل کے نام سے جانا جاتا ہے,easy,factual,"بوریت جھیل میر آف ہنزہ کے لیے سردیوں میں شکار کی مشہور جگہ تھی۔ جھیل کے کنارے ایک پہاڑی پر میر کے لیے چھوٹا مکان بنایا گیا تھا۔ آج یہ مکان بوریت لیک ہوٹل کے نام سے جانا جاتا ہے

بلتیت قلعہ 700 سال تک ہنزہ کے شاہی خاندان عیاشکتز کا گھر رہا۔ ہنزہ پہلے کنجوت کے نام سے جانی جاتی تھی اور یہ ایک آزاد ریاست تھی جس پر موروثی بادشاہ میر تھم حکومت کرتے تھے۔ 19ویں صدی میں یہ قلعہ گریٹ گیم کا حصہ بنا

بوریت جھیل پاکستان کے گلگت بلتستان کے ضلع ہنزہ میں واقع ہے۔ یہ بالائی ہنزہ میں گوجال کے علاقے غلکین کے قریب حسینی کے شمال مغرب میں واقع ہے۔ جھیل کی سطح سمندر سے اونچائی تقریباً 2,600 میٹر ہے",0.829829752445221,0.795536637306213,0.914789259433746,0.913389682769775,-0.0342931151390079,-0.0013995766639710583,False
