id,model,question,true_answer,baseline_answer,rag_answer,difficulty,answer_type,context,f1_baseline_mbert,f1_rag_mbert,f1_baseline_xlm,f1_rag_xlm,f1_delta_mbert,f1_delta_xlm,script_mismatch_diagnostic_only
1,qwen3,وادی ہنزہ کہاں واقع ہے؟,وادی ہنزہ پاکستان کے صوبے گلگت بلتستان میں واقع ہے۔,وادی ہنزہ پنجاب شہر میں واقع ہے۔,وادی ہنزہ پاکستان کے صوبے گلگت بلتستان میں واقع ایک خوبصورت پہاڑی وادی ہے۔,easy,factual,"وادی ہنزہ پاکستان کے صوبے گلگت بلتستان میں واقع ایک خوبصورت پہاڑی وادی ہے۔ یہ کوہ قراقرم کے دامن میں دریائے ہنزہ کے کنارے پھیلی ہوئی ہے۔ ہنزہ اپنے شاندار پہاڑی مناظر، پھلوں کے باغات اور قدیم قلعوں کی وجہ سے مشہور ہے اور پاکستان کے مقبول ترین سیاحتی مقامات میں شمار ہوتی ہے

وادی ہنزہ دریائے ہنزہ کے ساتھ پھیلی ہوئی ہے۔ اس کی سرحدیں شمال مغرب میں اشکومن، جنوب مشرق میں شگر، شمال میں افغانستان کے واخان کوریڈور اور شمال مشرق میں چین کے سنکیانگ سے ملتی ہیں۔ یہ وادی ہسپر اور ہنزہ دریاؤں کے سنگم کے بعد نگر ویلی سے مل جاتی ہے۔ اس کی سطح سمندر سے بلندی تقریباً 2438 میٹر ہے۔ جغرافیائی طور پر اسے تین حصوں میں تقسیم کیا جاتا ہے: اپر ہنزہ (گوجال)، سنٹرل ہنزہ اور لوئر ہنزہ (شناکی)

وادی ہنزہ اسلام آباد سے تقریباً 600 سے 650 کلومیٹر کے فاصلے پر واقع ہے۔ سڑک کا سفر رکاوٹوں اور سڑک کے حالات کے مطابق 12 سے 16 گھنٹے تک لگتا ہے اور یہ سفر شاہراہ قراقرم کے ذریعے پہاڑوں، دریاؤں، سرنگوں اور چھوٹے قصبوں سے گزرتا ہے۔ اسلام آباد، لاہور اور راولپنڈی سے گلگت اور ہنزہ کے لیے روزانہ کئی بس سروسز چلتی ہیں جن میں فیصل موورز، سکائی ویز اور کوہستان ایکسپریس شامل ہیں۔ یہ بسیں مسافروں کو گلگت یا ہنزہ کے علی آباد میں اتارتی ہیں جہاں سے مقامی وین یا ٹیکسی کریم آباد تک لے جاتی ہے۔ متبادل طور پر اسلام آباد سے گلگت ایئرپورٹ تک پروازیں بھی دستیاب ہیں جہاں سے ہنزہ 2 سے 3 گھنٹے کی ڈرائیو پر ہے۔ پروازیں موسمی حالات پر منحصر ہیں اور تاخیر یا منسوخی کا شکار ہو سکتی ہیں۔",0.857205033302307,0.907783031463623,0.952686846256256,0.977660119533539,0.05057799816131603,0.024973273277283048,False
9,qwen3,ہنزہ کی مقدس چٹان اور وادی ہنزہ کی دیگر چٹانوں پر کون سے رسم الخط ملتے ہیں؟,وادی ہنزہ کی چٹانوں پر قدیم براہمی رسم الخط میں تحریریں موجود ہیں، جبکہ ہنزہ کی مقدس چٹان پر خاص طور پر خروشتی رسم الخط میں تحریریں پائی جاتی ہیں۔,ہنزہ کی مقدس چٹان اور وادی ہنزہ کی دیگر چٹانوں پر رسم الخط ملتے ہیں۔ ہنزہ کی مقدس چٹان، جن کی تاریخ اور معنوی معاملات میں بڑا اہم موقع ہے، پر رسم الخط ملتے ہیں۔ ہنزہ کی مقدس چٹان کے ساتھ دیگر چٹانوں پر بھی رسم خط ملتے ہیں۔ ہنزہ کی,ہنزہ کی مقدس چٹان اور وادی ہنزہ کی دیگر چٹانوں پر بدھ راہبوں نے عبادت اور ثقافت کے اظہار کے لیے رسم الخط میں تحریریں بھی موجود ہیں۔,hard,multi-source,"ہنزہ کی مقدس چٹان پر گھڑ سواروں اور آئبیکس کی تصویریں (پیٹروگلفس) موجود ہیں اور اس پر خروشتی رسم الخط میں تحریریں بھی ہیں جن میں ساکا اور پہلوا حکمرانوں کے نام درج ہیں۔ اس چٹان پر کُشان دور کی تحریریں بھی موجود ہیں جو ہنزہ اور گلگت کے علاقوں پر ساکا اور کُشان کی بالادستی کو ظاہر کرتی ہیں

اسلام سے پہلے وادی ہنزہ میں بدھ مت اور کسی حد تک بون مذہب رائج تھے۔ اس علاقے میں بدھ مت کے آثار موجود ہیں جیسے ہنزہ کی مقدس چٹان۔ بعد میں زیادہ تر آبادی نے اسلام قبول کر لیا اور زیادہ تر لوگ اسماعیلی مسلک سے تعلق رکھتے ہیں۔ وادی ہنزہ میں قدیم براہمی رسم الخط میں چٹانوں پر تحریریں موجود ہیں جو بدھ راہبوں نے عبادت اور ثقافت کے اظہار کے لیے بنائیں

ضلع ہنزہ 11,695 مربع کلومیٹر کے رقبے پر محیط ایک سابقہ شاہی ریاست ہے۔ یہاں التیت اور بلتیت قلعے، تاریخی پولو گراؤنڈ، واچ ٹاورز اور مساجد جیسے ثقافتی ورثے موجود ہیں۔ گنیش میں مشہور ہلدیکش مقدس چٹانیں بھی اہم آثار قدیمہ میں شامل ہیں",0.750228643417358,0.803210079669952,0.908044695854187,0.926870346069336,0.052981436252593994,0.018825650215149037,False
11,qwen3,وادی ہنزہ کی جغرافیائی سرحدیں اور اس کا محلِ وقوع اسے تاریخی تجارتی راستوں کے لیے کیوں اہم بناتا تھا؟,وادی ہنزہ کی سرحدیں اشکومن، شگر، واخان کوریڈور اور سنکیانگ سے ملتی ہیں۔ یہ وسطی ایشیا اور برصغیر کو ملانے والے تجارتی راستوں کے نیٹ ورک میں اہم تھی اور بدھ راہبوں کے لیے محفوظ راستہ بھی فراہم کرتی تھی۔,وادی ہنزہ کی جغرافیائی سرحدیں اسے تاریخی تجارتی راستوں کے لیے اہم بناتی ہیں، زمین کے دوسری جانب کے ممالک کے درمیان تجارتی راستوں کے لیے۔ وادی ہنزہ کے علاقے میں بڑا پانی کا ذریعہ موجود ہے، جس کی وجہ سے اس کی جغرافیائی سرحدیں مختلف ممالک کے در,وادی ہنزہ پاکستان کے صوبے گلگت بلتستان میں واقع ہے اور اس کی جغرافیائی سرحدیں برصغیر اور آسیا کو ملانے والے تجارتی راستوں کے لیے اہم تھیں۔,hard,multi-source,"وادی ہنزہ وسطی ایشیا اور برصغیر کو ملانے والے تجارتی راستوں کے نیٹ ورک میں اہم تھی۔ یہ بدھ راہبوں کے لیے محفوظ راستہ بھی فراہم کرتی تھی اور بدھ مت کے پھیلاؤ میں کردار ادا کرتی تھی۔ مورخ احمد حسن دانی کے مطابق ساکا (سکھی) لوگوں نے قراقرم راستے کے ذریعے ٹیکسلا پر حملہ کیا-

قراقرم ہائی وے کے قائم ہونے سے پہلے یہ گزرگاہیں پاکستان اور ہندوستان کو تاشقرغان سے ملانے والے کارواں کے روایتی راستوں کے طور پر استعمال ہوتی تھیں۔ یہ راستے تجارت اور سفر کے لیے تاریخی اہمیت کے حامل تھے

وادی ہنزہ پاکستان کے صوبے گلگت بلتستان میں واقع ایک خوبصورت پہاڑی وادی ہے۔ یہ کوہ قراقرم کے دامن میں دریائے ہنزہ کے کنارے پھیلی ہوئی ہے۔ ہنزہ اپنے شاندار پہاڑی مناظر، پھلوں کے باغات اور قدیم قلعوں کی وجہ سے مشہور ہے اور پاکستان کے مقبول ترین سیاحتی مقامات میں شمار ہوتی ہے",0.71086311340332,0.779398798942566,0.883959889411926,0.908051133155823,0.06853568553924605,0.02409124374389693,False
14,qwen3,تجارتی لحاظ سے وادی ہنزہ کن دو خطوں کو ملاتی تھی؟,وادی ہنزہ وسطی ایشیا اور برصغیر کو ملانے والے تجارتی راستوں کے نیٹ ورک میں اہم تھی۔,وادی ہنزہ کا ایک دو خطوں کا ملا تھا جن کو ملتا تھا۔,وادی ہنزہ تجارتی لحاظ سے اشکومن اور شگر کو ملاتی تھی۔,easy,factual,"وادی ہنزہ وسطی ایشیا اور برصغیر کو ملانے والے تجارتی راستوں کے نیٹ ورک میں اہم تھی۔ یہ بدھ راہبوں کے لیے محفوظ راستہ بھی فراہم کرتی تھی اور بدھ مت کے پھیلاؤ میں کردار ادا کرتی تھی۔ مورخ احمد حسن دانی کے مطابق ساکا (سکھی) لوگوں نے قراقرم راستے کے ذریعے ٹیکسلا پر حملہ کیا-

وادی ہنزہ دریائے ہنزہ کے ساتھ پھیلی ہوئی ہے۔ اس کی سرحدیں شمال مغرب میں اشکومن، جنوب مشرق میں شگر، شمال میں افغانستان کے واخان کوریڈور اور شمال مشرق میں چین کے سنکیانگ سے ملتی ہیں۔ یہ وادی ہسپر اور ہنزہ دریاؤں کے سنگم کے بعد نگر ویلی سے مل جاتی ہے۔ اس کی سطح سمندر سے بلندی تقریباً 2438 میٹر ہے۔ جغرافیائی طور پر اسے تین حصوں میں تقسیم کیا جاتا ہے: اپر ہنزہ (گوجال)، سنٹرل ہنزہ اور لوئر ہنزہ (شناکی)

وادی ہنزہ کی آب و ہوا اور بلندی مختلف پھلوں اور خشک میوہ جات کی کاشت کے لیے موزوں سمجھی جاتی ہے۔ یہاں بادام، اخروٹ، خوبانی، انگور اور مقامی قسم کے سفرجل پیدا کیے جاتے ہیں۔ مقامی دکانوں اور کریم آباد بازار میں یہ اشیا عام طور پر دستیاب ہوتی ہیں۔ ان میں سے بعض مصنوعات پاکستان کے دیگر شہروں تک بھی پہنچائی جاتی ہیں جس کے باعث مقامی منڈیوں میں ان کی قیمتیں نسبتاً مناسب رہتی ہیں۔",0.745071649551392,0.806209921836853,0.890206456184387,0.91863751411438,0.06113827228546098,0.02843105792999301,False
33,qwen3,عطا آباد جھیل پر جانے والے سیاح کیا کیا کر سکتے ہیں؟,عطا آباد جھیل پر سیاح بوٹنگ، جیٹ سکینگ اور فشینگ جیسی سرگرمیوں سے لطف اندوز ہو سکتے ہیں۔,"عطا آباد جھیل میں سیاح کیا کیا کر سکتے ہیں:  
1. جھیل کو باہر کرنا۔  
2. جھیل کو دیکھنے کے لئے جانا۔  
3. جھیل کو اپنی چادر پر رکھ کر دیکھنا۔  
4. جھیل کو اپنی چادر پر رکھ کر دیکھنا۔  
5. جھیل کو اپنی چادر پر رکھ",عطا آباد جھیل پر جانے والے سیاح نیلے پانی، آبی کھیلوں، بوٹنگ، جیٹ سکینگ، فشینگ، وادی پاسو، گلمٹ ویلی، کیمپنگ زونز، کشتیاں، کھانے کے لیے کیفے،,medium,list-recall,"عطا آباد جھیل اپنے چمکدار نیلے پانی اور آبی کھیلوں کی وجہ سے سب سے مشہور سیاحتی مقام ہے۔ التیت اور بلتیت قلعے تاریخ سے محبت کرنے والوں کے لیے منفرد مقامات ہیں۔ ڈوئکر گاؤں طلوع اور غروب آفتاب دیکھنے کے لیے بہترین جگہ ہے۔ عطا آباد جھیل پر بوٹنگ، جیٹ سکینگ اور فشینگ جیسی سرگرمیاں دستیاب ہیں۔ وادی پاسو اور گلمٹ ویلی بھی اپنے دلکش مناظر کے لیے مشہور ہیں

عطاء آباد جھیل، جسے اٹہ آباد جھیل بھی کہا جاتا ہے، 2010 میں ہونے والے لینڈ سلائیڈ کے بعد وجود میں آئی۔ یہ جھیل ہنزہ کے قریب واقع ہے اور اس کے اطراف قراقرم کے بلند اور چٹانی پہاڑی مناظر پائے جاتے ہیں۔ جھیل کا نیلا پانی اس کی نمایاں خصوصیات میں شمار ہوتا ہے۔ دن کے وقت سیاح جھیل کا دورہ کر سکتے ہیں جبکہ کنارے پر مختصر کشتی کی سواریاں بھی دستیاب ہیں۔

عطاء آباد جھیل کے کنارے کئی کیمپنگ زونز موجود ہیں جہاں مقامی دکانداروں سے کیمپنگ کا سامان اور کشتیاں کرائے پر لی جا سکتی ہیں۔ بہترین تجربے کے لیے غروب آفتاب سے پہلے پہنچنا تجویز کیا جاتا ہے۔ اس علاقے میں موبائل نیٹ ورک کا سگنل کمزور ہے۔ جھیل کے قریب چھوٹے کیفے گرم کھانا فراہم کرتے ہیں۔",0.654846787452698,0.774923026561737,0.883229196071625,0.91764760017395,0.12007623910903897,0.034418404102324995,False
39,qwen3,درہ خنجراب سردیوں میں کیوں بند رہتا ہے؟,درہ خنجراب سردیوں میں سخت موسم کی وجہ سے بند رہتا ہے۔,درہ خنجراب سردیوں میں بند رہنا ایک طبی عمل ہے جس کا دلچسپی ہوتی ہے۔ درہ خنجراب کی سرداری کے دوران، جب سردیوں کا تجارت شروع ہوتا ہے، تو وہ بند رہ جاتا ہے۔ اس کا سبب ہے کہ سردیوں نے درہ خنجراب کی سرداری کے لئے ایک فرش کی حالت بنادیا,درہ خنجراب سردیوں میں سخت موسم کی وجہ سے بند رہتا ہے۔,easy,factual,"خنجراب نام مقامی وخی زبان کے دو الفاظ سے ماخوذ ہے جن کا مطلب خون کی وادی ہے۔ یہ نام اس علاقے کے مشکل خطوں اور تاریخ کی عکاسی کرتا ہے۔ درہ سردیوں میں سخت موسم کی وجہ سے بند رہتا ہے

خنجراب درہ پاک چین سرحد پر 16,000 فٹ سے کچھ زیادہ یعنی تقریباً 4,693 میٹر کی بلندی پر واقع ہے۔ درے تک جانے والی سڑک کے آخری حصے میں تیز موڑ ہیں اور سڑک کی سطح برفیلی ہو سکتی ہے۔ راستے میں ایک پولیس چیک پوسٹ موجود ہے۔ پارکنگ ایریا سے سرحدی دروازہ تقریباً 500 میٹر آگے ہے۔ یہ دروازہ ایک بڑا سوویت طرز کا چوکور پتھر کا ڈھانچہ ہے جو چین کے صوبے سنکیانگ کے داخلے کی نشاندہی کرتا ہے۔ درے پر درجہ حرارت منفی 25 ڈگری سیلسیس تک گر سکتا ہے۔

سوست تک پہنچنے کے لیے اسلام آباد سے گلگت پرواز کر کے شاہراہ قراقرم کے ذریعے سوست پہنچا جا سکتا ہے۔ چین کی جانب سے کاشغر یا ارومچی سے پرواز کر کے خنجراب پاس عبور کر کے بھی سوست پہنچا جا سکتا ہے۔ سردیوں میں شدید برف باری کی وجہ سے خنجراب پاس بند رہتا ہے",0.727841317653656,1.0,0.883035004138947,0.999999821186066,0.272158682346344,0.11696481704711903,False
41,qwen3,سوست قراقرم ہائی وے پر کس حیثیت سے جانا جاتا ہے؟,سوست قراقرم ہائی وے پر خنجراب پاس سے پہلے واقع آخری پاکستانی قصبہ ہے۔,سوست قراقرم ہائی وے پر اُکر کے علاقے میں جانا جاتا ہے۔,سوست قراقرم ہائی وے پر آخری پاکستانی قصبہ ہے جو خنجراب درے کی جانب جانے والے مسافروں کے لیے ایک اہم پڑاؤ ہے۔,easy,factual,"سوست پاکستان کے گلگت بلتستان کے ضلع گوجال ہنزہ میں سطح سمندر سے 2,800 میٹر کی بلندی پر واقع ایک خوبصورت سیاحتی مقام ہے۔ یہ شاہراہ قراقرم پر گلگت شہر سے 184 کلومیٹر کے فاصلے پر واقع ہے۔ سوست قراقرم ہائی وے پر آخری پاکستانی قصبہ ہے جو خنجراب پاس سے پہلے واقع ہے

سوست تک پہنچنے کے لیے اسلام آباد سے گلگت پرواز کر کے شاہراہ قراقرم کے ذریعے سوست پہنچا جا سکتا ہے۔ چین کی جانب سے کاشغر یا ارومچی سے پرواز کر کے خنجراب پاس عبور کر کے بھی سوست پہنچا جا سکتا ہے۔ سردیوں میں شدید برف باری کی وجہ سے خنجراب پاس بند رہتا ہے

سوست، خنجراب درے کی جانب جانے والے مسافروں کے لیے ایک اہم پڑاؤ ہے جہاں لذیذ روایتی پاکستانی کھانے ملتے ہیں۔ جو لوگ گوشت پرہیز کرتے ہیں یا سبزیاں پسند کرتے ہیں، ان کے لیے یہاں راجما، پیلی اور کالی دال، اور آلو کا سالن دستیاب ہے۔ یہ کھانے عموماً گرما گرم روٹی، تازہ لال پیاز اور ہری مرچ کے ساتھ پیش کیے جاتے ہیں۔ قصبے میں موجود ایک بڑا پیٹرول اسٹیشن یہاں کی نمایاں نشانی ہے",0.806585609912872,0.863936364650726,0.915253460407257,0.932016015052795,0.057350754737854004,0.016762554645537997,False
48,qwen3,درہ خنجراب کو 'گیٹ وے ٹو چائنا' کیوں کہا جاتا ہے اور اس کی جغرافیائی خصوصیت کیا ہے؟,"درہ خنجراب 4,693 میٹر کی بلندی پر واقع دنیا کی بلند ترین بین الاقوامی سرحدی گزرگاہوں میں سے ایک ہے جو پاکستان کے گلگت بلتستان کو چین کے سنکیانگ سے ملاتا ہے، اس لیے اسے 'گیٹ وے ٹو چائنا' کہا جاتا ہے۔",درہ خنجراب کو 'گیٹ وے ٹو چائنا' کیوں کہا جاتا ہے، اس کی وجہ سے ہے کہ اس کے قریب چین کے راست ہیں۔ درہ خنجراب پاکستان کے چینی علاقے میں واقع ہے، جہاں چین کے راست اور تجارت کے لئے استعمال کیے جاتے ہیں۔ درہ خنجراب کی جغرافیائی خصوصی,"خنجراب درہ چین کے سنکیانگ سے ملاتا ہے اور اسے ""گیٹ وے ٹو چائنا"" بھی کہا جاتا ہے، جبکہ اس کی جغرافیائی خصوصیت 4,693 میٹر کی بلندی پر واقع ہونا ا",medium,list-recall,"درہ خنجراب پاکستان کے گلگت بلتستان کے ضلع ہنزہ کے گاؤں سوست میں واقع ہے۔ یہ 4,693 میٹر کی بلندی پر واقع دنیا کی بلند ترین بین الاقوامی سرحدی گزرگاہوں میں سے ایک ہے۔ یہ درہ پاکستان کے گلگت بلتستان کو چین کے سنکیانگ سے ملاتا ہے اور اسے ""گیٹ وے ٹو چائنا"" بھی کہا جاتا ہے

خنجراب نام مقامی وخی زبان کے دو الفاظ سے ماخوذ ہے جن کا مطلب خون کی وادی ہے۔ یہ نام اس علاقے کے مشکل خطوں اور تاریخ کی عکاسی کرتا ہے۔ درہ سردیوں میں سخت موسم کی وجہ سے بند رہتا ہے

خنجراب درہ پاک چین سرحد پر 16,000 فٹ سے کچھ زیادہ یعنی تقریباً 4,693 میٹر کی بلندی پر واقع ہے۔ درے تک جانے والی سڑک کے آخری حصے میں تیز موڑ ہیں اور سڑک کی سطح برفیلی ہو سکتی ہے۔ راستے میں ایک پولیس چیک پوسٹ موجود ہے۔ پارکنگ ایریا سے سرحدی دروازہ تقریباً 500 میٹر آگے ہے۔ یہ دروازہ ایک بڑا سوویت طرز کا چوکور پتھر کا ڈھانچہ ہے جو چین کے صوبے سنکیانگ کے داخلے کی نشاندہی کرتا ہے۔ درے پر درجہ حرارت منفی 25 ڈگری سیلسیس تک گر سکتا ہے۔",0.738364636898041,0.789542257785797,0.885897874832153,0.928725957870483,0.051177620887756015,0.04282808303832997,False
50,qwen3,درہ خنجراب کے نام کا مطلب اور اس کی موسمی صورتحال اس علاقے کے بارے میں کیا بتاتے ہیں؟,خنجراب کا مطلب خون کی وادی ہے جو اس علاقے کے مشکل خطوں کی عکاسی کرتا ہے اور یہی سختی سردیوں میں درے کی بندش کی وجہ بھی بنتی ہے۔,"درہ خنجراب کا نام ""درہ"" جو ""چھوٹا سا رہنوا"" یا ""چھوٹا سا درہ"" کے معنی ہے، اور ""خنجراب"" جو ""خنجر"" یا ""خنجر کا رہنوا"" کے معنی ہے۔ اس علاقے کی موسمی صورتحال کی طرف سے بتایا جا تا ہے کہ وہ علاقہ شدید دھOB کا موقع فراہم کرتا ہے، اور ز",خنجراب درہ کی طرف سفر کرتے ہوئے بلندی میں اضافے کے ساتھ ہوا کا دباؤ اور آکسیجن کی مقدار کم ہو جاتی ہے۔,medium,list-recall,"خنجراب نام مقامی وخی زبان کے دو الفاظ سے ماخوذ ہے جن کا مطلب خون کی وادی ہے۔ یہ نام اس علاقے کے مشکل خطوں اور تاریخ کی عکاسی کرتا ہے۔ درہ سردیوں میں سخت موسم کی وجہ سے بند رہتا ہے

خنجراب درے کی طرف سفر کرتے ہوئے بلندی میں اضافے کے ساتھ ہوا کا دباؤ اور آکسیجن کی مقدار کم ہو جاتی ہے۔ اس صورتِ حال میں مسافروں کو پانی مناسب مقدار میں پینے، آہستہ چلنے اور ہلکی غذا یا خشک میوہ جات استعمال کرنے کا مشورہ دیا جاتا ہے۔ مقامی روایت کے مطابق خوبانی بلندی سے متعلق چکر آنے کی کیفیت کم کرنے میں مددگار سمجھی جاتی ہے۔

درہ خنجراب پاکستان کے گلگت بلتستان کے ضلع ہنزہ کے گاؤں سوست میں واقع ہے۔ یہ 4,693 میٹر کی بلندی پر واقع دنیا کی بلند ترین بین الاقوامی سرحدی گزرگاہوں میں سے ایک ہے۔ یہ درہ پاکستان کے گلگت بلتستان کو چین کے سنکیانگ سے ملاتا ہے اور اسے ""گیٹ وے ٹو چائنا"" بھی کہا جاتا ہے",0.680784404277802,0.703998029232025,0.860392272472382,0.874038994312286,0.023213624954223078,0.013646721839904008,False
52,qwen3,بوریت جھیل کے کنارے میر آف ہنزہ کے لیے بنایا گیا چھوٹا مکان آج کس نام سے جانا جاتا ہے؟,جھیل کے کنارے پہاڑی پر میر کے لیے بنایا گیا چھوٹا مکان آج بوریت لیک ہوٹل کے نام سے جانا جاتا ہے۔,"بوریت جھیل کے کنارے میر آف ہنزہ کے لیے بنایا گیا چھوٹا مکان آج کس نام سے جانا جاتا ہے؟  
بوریت جھیل کے کنارے میر آف ہنزہ کے لیے بنایا گیا چھوٹا مکان آج کس نام سے جانا جاتا ہے؟  
بوریت جھیل کے کنارے میر آف ہنزہ کے لیے بن",بوریت لیک ہوٹل,easy,factual,"بوریت جھیل میر آف ہنزہ کے لیے سردیوں میں شکار کی مشہور جگہ تھی۔ جھیل کے کنارے ایک پہاڑی پر میر کے لیے چھوٹا مکان بنایا گیا تھا۔ آج یہ مکان بوریت لیک ہوٹل کے نام سے جانا جاتا ہے

بلتیت قلعہ 700 سال تک ہنزہ کے شاہی خاندان عیاشکتز کا گھر رہا۔ ہنزہ پہلے کنجوت کے نام سے جانی جاتی تھی اور یہ ایک آزاد ریاست تھی جس پر موروثی بادشاہ میر تھم حکومت کرتے تھے۔ 19ویں صدی میں یہ قلعہ گریٹ گیم کا حصہ بنا

بوریت جھیل پاکستان کے گلگت بلتستان کے ضلع ہنزہ میں واقع ہے۔ یہ بالائی ہنزہ میں گوجال کے علاقے غلکین کے قریب حسینی کے شمال مغرب میں واقع ہے۔ جھیل کی سطح سمندر سے اونچائی تقریباً 2,600 میٹر ہے",0.702053964138031,0.702835500240326,0.891562640666962,0.861659705638885,0.0007815361022950329,-0.02990293502807695,False
