id,model,question,true_answer,baseline_answer,rag_answer,difficulty,answer_type,context,f1_baseline_mbert,f1_rag_mbert,f1_baseline_xlm,f1_rag_xlm,f1_delta_mbert,f1_delta_xlm,script_mismatch_diagnostic_only
1,aya,وادی ہنزہ کہاں واقع ہے؟,وادی ہنزہ پاکستان کے صوبے گلگت بلتستان میں واقع ہے۔,وادی ہنزہ پاکستان کے شمال مغربی علاقے میں واقع ہے، جو خیبر پختونخوا کی ایک ضلع ہے۔ یہ وادی ہنزہ ڈویژن کا مرکز بھی ہے اور اس کی سرحدیں افغانستان سے ملتی ہیں۔,وادی ہنزہ پاکستان کے صوبے گلگت بلتستان میں واقع ہے۔,easy,factual,"وادی ہنزہ پاکستان کے صوبے گلگت بلتستان میں واقع ایک خوبصورت پہاڑی وادی ہے۔ یہ کوہ قراقرم کے دامن میں دریائے ہنزہ کے کنارے پھیلی ہوئی ہے۔ ہنزہ اپنے شاندار پہاڑی مناظر، پھلوں کے باغات اور قدیم قلعوں کی وجہ سے مشہور ہے اور پاکستان کے مقبول ترین سیاحتی مقامات میں شمار ہوتی ہے

وادی ہنزہ دریائے ہنزہ کے ساتھ پھیلی ہوئی ہے۔ اس کی سرحدیں شمال مغرب میں اشکومن، جنوب مشرق میں شگر، شمال میں افغانستان کے واخان کوریڈور اور شمال مشرق میں چین کے سنکیانگ سے ملتی ہیں۔ یہ وادی ہسپر اور ہنزہ دریاؤں کے سنگم کے بعد نگر ویلی سے مل جاتی ہے۔ اس کی سطح سمندر سے بلندی تقریباً 2438 میٹر ہے۔ جغرافیائی طور پر اسے تین حصوں میں تقسیم کیا جاتا ہے: اپر ہنزہ (گوجال)، سنٹرل ہنزہ اور لوئر ہنزہ (شناکی)

وادی ہنزہ اسلام آباد سے تقریباً 600 سے 650 کلومیٹر کے فاصلے پر واقع ہے۔ سڑک کا سفر رکاوٹوں اور سڑک کے حالات کے مطابق 12 سے 16 گھنٹے تک لگتا ہے اور یہ سفر شاہراہ قراقرم کے ذریعے پہاڑوں، دریاؤں، سرنگوں اور چھوٹے قصبوں سے گزرتا ہے۔ اسلام آباد، لاہور اور راولپنڈی سے گلگت اور ہنزہ کے لیے روزانہ کئی بس سروسز چلتی ہیں جن میں فیصل موورز، سکائی ویز اور کوہستان ایکسپریس شامل ہیں۔ یہ بسیں مسافروں کو گلگت یا ہنزہ کے علی آباد میں اتارتی ہیں جہاں سے مقامی وین یا ٹیکسی کریم آباد تک لے جاتی ہے۔ متبادل طور پر اسلام آباد سے گلگت ایئرپورٹ تک پروازیں بھی دستیاب ہیں جہاں سے ہنزہ 2 سے 3 گھنٹے کی ڈرائیو پر ہے۔ پروازیں موسمی حالات پر منحصر ہیں اور تاخیر یا منسوخی کا شکار ہو سکتی ہیں۔",0.749197661876678,1.0,0.917105257511139,0.99999988079071,0.250802338123322,0.08289462327957098,False
9,aya,ہنزہ کی مقدس چٹان اور وادی ہنزہ کی دیگر چٹانوں پر کون سے رسم الخط ملتے ہیں؟,وادی ہنزہ کی چٹانوں پر قدیم براہمی رسم الخط میں تحریریں موجود ہیں، جبکہ ہنزہ کی مقدس چٹان پر خاص طور پر خروشتی رسم الخط میں تحریریں پائی جاتی ہیں۔,"ہنزہ کی مقدس چٹان اور وادی ہنزہ کی دیگر چٹانوں پر بنیادی طور پر فارسی، عربی، اور مقامی قبائلی تحریریں پائی جاتی ہیں۔ ان میں سے کچھ اہم رسم الخط یہ ہیں:
1. **فارسی** – قدیم خطاطی اور تاریخی دستاویزات میں استعمال ہوتا ہے۔
2. **عربی** – اسلامی دور کے آثار اور مذہبی متن",ہنزہ کی مقدس چٹان اور وادی ہنزہ کی دیگر چٹانوں پر خروشتی رسم الخط میں تحریریں ملتی ہیں، جن میں ساکا اور پہلوا حکمرانوں کے نام درج ہیں۔ ان کے علاوہ، قدیم براہمی رسم الخط بھی موجود ہے جو بدھ راہبوں نے عبادت اور ثقافت کے اظہار کے لیے استعمال کیا تھا۔,hard,multi-source,"ہنزہ کی مقدس چٹان پر گھڑ سواروں اور آئبیکس کی تصویریں (پیٹروگلفس) موجود ہیں اور اس پر خروشتی رسم الخط میں تحریریں بھی ہیں جن میں ساکا اور پہلوا حکمرانوں کے نام درج ہیں۔ اس چٹان پر کُشان دور کی تحریریں بھی موجود ہیں جو ہنزہ اور گلگت کے علاقوں پر ساکا اور کُشان کی بالادستی کو ظاہر کرتی ہیں

اسلام سے پہلے وادی ہنزہ میں بدھ مت اور کسی حد تک بون مذہب رائج تھے۔ اس علاقے میں بدھ مت کے آثار موجود ہیں جیسے ہنزہ کی مقدس چٹان۔ بعد میں زیادہ تر آبادی نے اسلام قبول کر لیا اور زیادہ تر لوگ اسماعیلی مسلک سے تعلق رکھتے ہیں۔ وادی ہنزہ میں قدیم براہمی رسم الخط میں چٹانوں پر تحریریں موجود ہیں جو بدھ راہبوں نے عبادت اور ثقافت کے اظہار کے لیے بنائیں

ضلع ہنزہ 11,695 مربع کلومیٹر کے رقبے پر محیط ایک سابقہ شاہی ریاست ہے۔ یہاں التیت اور بلتیت قلعے، تاریخی پولو گراؤنڈ، واچ ٹاورز اور مساجد جیسے ثقافتی ورثے موجود ہیں۔ گنیش میں مشہور ہلدیکش مقدس چٹانیں بھی اہم آثار قدیمہ میں شامل ہیں",0.748285293579102,0.801317512989044,0.908148884773254,0.93175208568573,0.05303221940994196,0.02360320091247603,False
11,aya,وادی ہنزہ کی جغرافیائی سرحدیں اور اس کا محلِ وقوع اسے تاریخی تجارتی راستوں کے لیے کیوں اہم بناتا تھا؟,وادی ہنزہ کی سرحدیں اشکومن، شگر، واخان کوریڈور اور سنکیانگ سے ملتی ہیں۔ یہ وسطی ایشیا اور برصغیر کو ملانے والے تجارتی راستوں کے نیٹ ورک میں اہم تھی اور بدھ راہبوں کے لیے محفوظ راستہ بھی فراہم کرتی تھی۔,وادی ہنزہ پاکستان کے شمال مغربی علاقے میں واقع ہے، جو ہندوکش پہاڑوں سے گھرا ہوا ہے۔ یہ وادی چین، افغانستان، ایران اور وسطی ایشیا کو جوڑنے والے قدیم تجارتی راستوں پر واقع تھی، جس نے اسے ایک اہم تجارتی مرکز بنایا۔ اس کی جغرافیائی پوزیشن نے اسے مشرقی اور مغربی ثقافتوں کے درمیان رابطے کا ذریعہ بنایا، جہاں س,وادی ہنزہ پاکستان کے صوبے گلگت بلتستان میں واقع ہے جو کوہ قراقرم کے دامن میں دریائے ہنزہ کے کنارے پھیلی ہوئی ہے۔ یہ مقام وسطی ایشیا اور برصغیر کو ملانے والے تاریخی تجارتی راستوں کے نیٹ ورک میں اہم تھا کیونکہ یہ ایک قدرتی گزرگاہ کے طور پر کام کرتا تھا جو مختلف علاقوں کو آپس میں جوڑ,hard,multi-source,"وادی ہنزہ وسطی ایشیا اور برصغیر کو ملانے والے تجارتی راستوں کے نیٹ ورک میں اہم تھی۔ یہ بدھ راہبوں کے لیے محفوظ راستہ بھی فراہم کرتی تھی اور بدھ مت کے پھیلاؤ میں کردار ادا کرتی تھی۔ مورخ احمد حسن دانی کے مطابق ساکا (سکھی) لوگوں نے قراقرم راستے کے ذریعے ٹیکسلا پر حملہ کیا-

قراقرم ہائی وے کے قائم ہونے سے پہلے یہ گزرگاہیں پاکستان اور ہندوستان کو تاشقرغان سے ملانے والے کارواں کے روایتی راستوں کے طور پر استعمال ہوتی تھیں۔ یہ راستے تجارت اور سفر کے لیے تاریخی اہمیت کے حامل تھے

وادی ہنزہ پاکستان کے صوبے گلگت بلتستان میں واقع ایک خوبصورت پہاڑی وادی ہے۔ یہ کوہ قراقرم کے دامن میں دریائے ہنزہ کے کنارے پھیلی ہوئی ہے۔ ہنزہ اپنے شاندار پہاڑی مناظر، پھلوں کے باغات اور قدیم قلعوں کی وجہ سے مشہور ہے اور پاکستان کے مقبول ترین سیاحتی مقامات میں شمار ہوتی ہے",0.732564270496368,0.785851657390594,0.893974423408508,0.901179075241089,0.053287386894226074,0.0072046518325810105,False
14,aya,تجارتی لحاظ سے وادی ہنزہ کن دو خطوں کو ملاتی تھی؟,وادی ہنزہ وسطی ایشیا اور برصغیر کو ملانے والے تجارتی راستوں کے نیٹ ورک میں اہم تھی۔,وادی ہنزہ شمالی پاکستان میں واقع ایک تاریخی اور ثقافتی علاقہ ہے جو تجارتی لحاظ سے پنجاب اور بلوچستان کے درمیان ایک اہم رابطے کا مرکز تھا۔ یہ دونوں خطوں کو ملانے والا بنیادی راستہ ہنزہ کی پہاڑی سرنگ (Hanzala Tunnel) تھا، جو ہنزہ کو پنجاب کے شہر لاہور سے جوڑتا تھا۔ اس کے علا,وسطی ایشیا اور برصغیر,easy,factual,"وادی ہنزہ وسطی ایشیا اور برصغیر کو ملانے والے تجارتی راستوں کے نیٹ ورک میں اہم تھی۔ یہ بدھ راہبوں کے لیے محفوظ راستہ بھی فراہم کرتی تھی اور بدھ مت کے پھیلاؤ میں کردار ادا کرتی تھی۔ مورخ احمد حسن دانی کے مطابق ساکا (سکھی) لوگوں نے قراقرم راستے کے ذریعے ٹیکسلا پر حملہ کیا-

وادی ہنزہ دریائے ہنزہ کے ساتھ پھیلی ہوئی ہے۔ اس کی سرحدیں شمال مغرب میں اشکومن، جنوب مشرق میں شگر، شمال میں افغانستان کے واخان کوریڈور اور شمال مشرق میں چین کے سنکیانگ سے ملتی ہیں۔ یہ وادی ہسپر اور ہنزہ دریاؤں کے سنگم کے بعد نگر ویلی سے مل جاتی ہے۔ اس کی سطح سمندر سے بلندی تقریباً 2438 میٹر ہے۔ جغرافیائی طور پر اسے تین حصوں میں تقسیم کیا جاتا ہے: اپر ہنزہ (گوجال)، سنٹرل ہنزہ اور لوئر ہنزہ (شناکی)

وادی ہنزہ کی آب و ہوا اور بلندی مختلف پھلوں اور خشک میوہ جات کی کاشت کے لیے موزوں سمجھی جاتی ہے۔ یہاں بادام، اخروٹ، خوبانی، انگور اور مقامی قسم کے سفرجل پیدا کیے جاتے ہیں۔ مقامی دکانوں اور کریم آباد بازار میں یہ اشیا عام طور پر دستیاب ہوتی ہیں۔ ان میں سے بعض مصنوعات پاکستان کے دیگر شہروں تک بھی پہنچائی جاتی ہیں جس کے باعث مقامی منڈیوں میں ان کی قیمتیں نسبتاً مناسب رہتی ہیں۔",0.729896187782288,0.741341352462769,0.904246032238007,0.896365106105804,0.011445164680480957,-0.007880926132203037,False
33,aya,عطا آباد جھیل پر جانے والے سیاح کیا کیا کر سکتے ہیں؟,عطا آباد جھیل پر سیاح بوٹنگ، جیٹ سکینگ اور فشینگ جیسی سرگرمیوں سے لطف اندوز ہو سکتے ہیں۔,"عطا آباد جھیل کے قریب سیاح مندرجہ ذیل سرگرمیاں کر سکتے ہیں:
1. جھیل کی خوبصورت مناظر کا لطف اٹھانا۔
2. کشتی میں سفر کرنا اور جھیل کے کنارے گھومنا۔
3. فوٹوگرافی کرنا اور یادگار تصاویر کھینچنا۔
4. مقامی ثقافت سے واقف ہونا اور روایتی کھانے کا مزہ لینا۔
5. قدرتی م",عطا آباد جھیل پر سیاح بوٹنگ، جیٹ سکینگ، فشینگ، کیمپنگ، اور طلوع و غروب آفتاب دیکھنے کی سرگرمیوں میں حصہ لے سکتے ہیں۔,medium,list-recall,"عطا آباد جھیل اپنے چمکدار نیلے پانی اور آبی کھیلوں کی وجہ سے سب سے مشہور سیاحتی مقام ہے۔ التیت اور بلتیت قلعے تاریخ سے محبت کرنے والوں کے لیے منفرد مقامات ہیں۔ ڈوئکر گاؤں طلوع اور غروب آفتاب دیکھنے کے لیے بہترین جگہ ہے۔ عطا آباد جھیل پر بوٹنگ، جیٹ سکینگ اور فشینگ جیسی سرگرمیاں دستیاب ہیں۔ وادی پاسو اور گلمٹ ویلی بھی اپنے دلکش مناظر کے لیے مشہور ہیں

عطاء آباد جھیل، جسے اٹہ آباد جھیل بھی کہا جاتا ہے، 2010 میں ہونے والے لینڈ سلائیڈ کے بعد وجود میں آئی۔ یہ جھیل ہنزہ کے قریب واقع ہے اور اس کے اطراف قراقرم کے بلند اور چٹانی پہاڑی مناظر پائے جاتے ہیں۔ جھیل کا نیلا پانی اس کی نمایاں خصوصیات میں شمار ہوتا ہے۔ دن کے وقت سیاح جھیل کا دورہ کر سکتے ہیں جبکہ کنارے پر مختصر کشتی کی سواریاں بھی دستیاب ہیں۔

عطاء آباد جھیل کے کنارے کئی کیمپنگ زونز موجود ہیں جہاں مقامی دکانداروں سے کیمپنگ کا سامان اور کشتیاں کرائے پر لی جا سکتی ہیں۔ بہترین تجربے کے لیے غروب آفتاب سے پہلے پہنچنا تجویز کیا جاتا ہے۔ اس علاقے میں موبائل نیٹ ورک کا سگنل کمزور ہے۔ جھیل کے قریب چھوٹے کیفے گرم کھانا فراہم کرتے ہیں۔",0.703704476356506,0.875751495361328,0.887471854686737,0.958233773708344,0.172047019004822,0.070761919021607,False
39,aya,درہ خنجراب سردیوں میں کیوں بند رہتا ہے؟,درہ خنجراب سردیوں میں سخت موسم کی وجہ سے بند رہتا ہے۔,درہ خنجراب، جو کہ پاکستان کے پنجاب صوبے میں واقع ایک تاریخی شہر ہے، سردیوں میں بند رہتا ہے کیونکہ یہ علاقہ ہمالیہ کے قریب ہونے کی وجہ سے ٹھنڈے موسم کا سامنا کرتا ہے۔ اس کے علاوہ، دریا کے کناروں پر برف باری اور سردی کی شدت بھی اس کی بندش کا سبب بنتی ہے۔,سردیوں میں شدید برف باری کی وجہ سے درہ خنجراب بند رہتا ہے۔,easy,factual,"خنجراب نام مقامی وخی زبان کے دو الفاظ سے ماخوذ ہے جن کا مطلب خون کی وادی ہے۔ یہ نام اس علاقے کے مشکل خطوں اور تاریخ کی عکاسی کرتا ہے۔ درہ سردیوں میں سخت موسم کی وجہ سے بند رہتا ہے

خنجراب درہ پاک چین سرحد پر 16,000 فٹ سے کچھ زیادہ یعنی تقریباً 4,693 میٹر کی بلندی پر واقع ہے۔ درے تک جانے والی سڑک کے آخری حصے میں تیز موڑ ہیں اور سڑک کی سطح برفیلی ہو سکتی ہے۔ راستے میں ایک پولیس چیک پوسٹ موجود ہے۔ پارکنگ ایریا سے سرحدی دروازہ تقریباً 500 میٹر آگے ہے۔ یہ دروازہ ایک بڑا سوویت طرز کا چوکور پتھر کا ڈھانچہ ہے جو چین کے صوبے سنکیانگ کے داخلے کی نشاندہی کرتا ہے۔ درے پر درجہ حرارت منفی 25 ڈگری سیلسیس تک گر سکتا ہے۔

سوست تک پہنچنے کے لیے اسلام آباد سے گلگت پرواز کر کے شاہراہ قراقرم کے ذریعے سوست پہنچا جا سکتا ہے۔ چین کی جانب سے کاشغر یا ارومچی سے پرواز کر کے خنجراب پاس عبور کر کے بھی سوست پہنچا جا سکتا ہے۔ سردیوں میں شدید برف باری کی وجہ سے خنجراب پاس بند رہتا ہے",0.775996804237366,0.899562239646912,0.908338487148285,0.953616678714752,0.12356543540954601,0.04527819156646695,False
41,aya,سوست قراقرم ہائی وے پر کس حیثیت سے جانا جاتا ہے؟,سوست قراقرم ہائی وے پر خنجراب پاس سے پہلے واقع آخری پاکستانی قصبہ ہے۔,"سوسٹہ، جو کہ سوسٹہ ڈھلوان کے نام سے بھی جانا جاتا ہے، پاکستان میں واقع ایک پہاڑی علاقہ ہے۔ یہ شمالی خیبر پختونخوا اور بلوچستان کے درمیان واقع ہے اور اس کی سرحدیں افغانستان سے ملتی ہیں۔ یہ علاقہ اپنے خوبصورت مناظر، تاریخی اہمیت اور ثقافتی ورثے کے لیے مشہور ہے۔

سوسٹہ",سوست قراقرم ہائی وے پر پاکستان کا آخری قصبہ ہے جو خنجراب پاس سے پہلے واقع ہے۔,easy,factual,"سوست پاکستان کے گلگت بلتستان کے ضلع گوجال ہنزہ میں سطح سمندر سے 2,800 میٹر کی بلندی پر واقع ایک خوبصورت سیاحتی مقام ہے۔ یہ شاہراہ قراقرم پر گلگت شہر سے 184 کلومیٹر کے فاصلے پر واقع ہے۔ سوست قراقرم ہائی وے پر آخری پاکستانی قصبہ ہے جو خنجراب پاس سے پہلے واقع ہے

سوست تک پہنچنے کے لیے اسلام آباد سے گلگت پرواز کر کے شاہراہ قراقرم کے ذریعے سوست پہنچا جا سکتا ہے۔ چین کی جانب سے کاشغر یا ارومچی سے پرواز کر کے خنجراب پاس عبور کر کے بھی سوست پہنچا جا سکتا ہے۔ سردیوں میں شدید برف باری کی وجہ سے خنجراب پاس بند رہتا ہے

سوست، خنجراب درے کی جانب جانے والے مسافروں کے لیے ایک اہم پڑاؤ ہے جہاں لذیذ روایتی پاکستانی کھانے ملتے ہیں۔ جو لوگ گوشت پرہیز کرتے ہیں یا سبزیاں پسند کرتے ہیں، ان کے لیے یہاں راجما، پیلی اور کالی دال، اور آلو کا سالن دستیاب ہے۔ یہ کھانے عموماً گرما گرم روٹی، تازہ لال پیاز اور ہری مرچ کے ساتھ پیش کیے جاتے ہیں۔ قصبے میں موجود ایک بڑا پیٹرول اسٹیشن یہاں کی نمایاں نشانی ہے",0.649269282817841,0.936016201972961,0.837193548679352,0.951414167881012,0.28674691915511996,0.11422061920165993,False
48,aya,درہ خنجراب کو 'گیٹ وے ٹو چائنا' کیوں کہا جاتا ہے اور اس کی جغرافیائی خصوصیت کیا ہے؟,"درہ خنجراب 4,693 میٹر کی بلندی پر واقع دنیا کی بلند ترین بین الاقوامی سرحدی گزرگاہوں میں سے ایک ہے جو پاکستان کے گلگت بلتستان کو چین کے سنکیانگ سے ملاتا ہے، اس لیے اسے 'گیٹ وے ٹو چائنا' کہا جاتا ہے۔","درہ خنجراب کو ""گیٹ وے ٹو چائنا"" کہا جاتا ہے کیونکہ یہ چین کے صوبہ گانسو سے پاکستان کے صوبہ پنجاب تک جانے کا ایک اہم راستہ ہے۔ اس دریا نے تاریخی طور پر تجارت، ثقافت اور سیاسی تعلقات میں اہم کردار ادا کیا ہے۔ اس کی جغرافیائی خصوصیت یہ ہے کہ یہ ہمالیہ کے پہاڑی علاقوں سے نکلتا ہے اور","درہ خنجراب کو ""گیٹ وے ٹو چائنا"" کہا جاتا ہے کیونکہ یہ پاکستان کے گلگت بلتستان کو چین کے سنکیانگ صوبے سے ملتا ہے، جس کی وجہ سے یہ دونوں ممالک کے درمیان ایک اہم سرحدی گزرگاہ بن جاتا ہے۔ اس کی جغرافیائی خصوصیت یہ ہے کہ یہ 463 میٹر کی بلندی پر واقع ہے اور سردیوں میں برفانی حالات کی",medium,list-recall,"درہ خنجراب پاکستان کے گلگت بلتستان کے ضلع ہنزہ کے گاؤں سوست میں واقع ہے۔ یہ 4,693 میٹر کی بلندی پر واقع دنیا کی بلند ترین بین الاقوامی سرحدی گزرگاہوں میں سے ایک ہے۔ یہ درہ پاکستان کے گلگت بلتستان کو چین کے سنکیانگ سے ملاتا ہے اور اسے ""گیٹ وے ٹو چائنا"" بھی کہا جاتا ہے

خنجراب نام مقامی وخی زبان کے دو الفاظ سے ماخوذ ہے جن کا مطلب خون کی وادی ہے۔ یہ نام اس علاقے کے مشکل خطوں اور تاریخ کی عکاسی کرتا ہے۔ درہ سردیوں میں سخت موسم کی وجہ سے بند رہتا ہے

خنجراب درہ پاک چین سرحد پر 16,000 فٹ سے کچھ زیادہ یعنی تقریباً 4,693 میٹر کی بلندی پر واقع ہے۔ درے تک جانے والی سڑک کے آخری حصے میں تیز موڑ ہیں اور سڑک کی سطح برفیلی ہو سکتی ہے۔ راستے میں ایک پولیس چیک پوسٹ موجود ہے۔ پارکنگ ایریا سے سرحدی دروازہ تقریباً 500 میٹر آگے ہے۔ یہ دروازہ ایک بڑا سوویت طرز کا چوکور پتھر کا ڈھانچہ ہے جو چین کے صوبے سنکیانگ کے داخلے کی نشاندہی کرتا ہے۔ درے پر درجہ حرارت منفی 25 ڈگری سیلسیس تک گر سکتا ہے۔",0.710251033306122,0.812743186950684,0.899904429912567,0.925934970378876,0.10249215364456199,0.026030540466308927,False
50,aya,درہ خنجراب کے نام کا مطلب اور اس کی موسمی صورتحال اس علاقے کے بارے میں کیا بتاتے ہیں؟,خنجراب کا مطلب خون کی وادی ہے جو اس علاقے کے مشکل خطوں کی عکاسی کرتا ہے اور یہی سختی سردیوں میں درے کی بندش کی وجہ بھی بنتی ہے۔,"درہ خنجراب پاکستان کے پنجاب صوبے میں واقع ایک تاریخی شہر ہے جو اپنے قدیم قلعوں، ثقافتی ورثے اور قدرتی خوبصورتی کے لیے مشہور ہے۔ اس کا نام ""خنجراب"" عربی لفظ ""خنجر"" سے ماخوذ ہے جس کا مطلب ""تیز دھار والا ہتھیار"" یا ""چمکدار تلوار"" ہوتا ہے۔ یہ نام اس",خنجراب کا نام مقامی زبانوں کے دو الفاظ سے بنا ہے جو خون کی وادی کو ظاہر کرتا ہے۔ یہ نام علاقے کی مشکل جغرافیہ اور تاریخی اہمیت کو پیش کرتا ہے۔ سردیوں میں درہ بند رہتا ہے کیونکہ بلندی کی وجہ سے ہوا کا دباؤ اور آکسیجن کی مقدار کم ہو جاتی ہے۔ اس لیے مسافروں کو پانی زیادہ پینا، آہستہ چلنا اور ہل,medium,list-recall,"خنجراب نام مقامی وخی زبان کے دو الفاظ سے ماخوذ ہے جن کا مطلب خون کی وادی ہے۔ یہ نام اس علاقے کے مشکل خطوں اور تاریخ کی عکاسی کرتا ہے۔ درہ سردیوں میں سخت موسم کی وجہ سے بند رہتا ہے

خنجراب درے کی طرف سفر کرتے ہوئے بلندی میں اضافے کے ساتھ ہوا کا دباؤ اور آکسیجن کی مقدار کم ہو جاتی ہے۔ اس صورتِ حال میں مسافروں کو پانی مناسب مقدار میں پینے، آہستہ چلنے اور ہلکی غذا یا خشک میوہ جات استعمال کرنے کا مشورہ دیا جاتا ہے۔ مقامی روایت کے مطابق خوبانی بلندی سے متعلق چکر آنے کی کیفیت کم کرنے میں مددگار سمجھی جاتی ہے۔

درہ خنجراب پاکستان کے گلگت بلتستان کے ضلع ہنزہ کے گاؤں سوست میں واقع ہے۔ یہ 4,693 میٹر کی بلندی پر واقع دنیا کی بلند ترین بین الاقوامی سرحدی گزرگاہوں میں سے ایک ہے۔ یہ درہ پاکستان کے گلگت بلتستان کو چین کے سنکیانگ سے ملاتا ہے اور اسے ""گیٹ وے ٹو چائنا"" بھی کہا جاتا ہے",0.676396548748016,0.738122224807739,0.859481513500214,0.896374046802521,0.06172567605972301,0.03689253330230702,False
52,aya,بوریت جھیل کے کنارے میر آف ہنزہ کے لیے بنایا گیا چھوٹا مکان آج کس نام سے جانا جاتا ہے؟,جھیل کے کنارے پہاڑی پر میر کے لیے بنایا گیا چھوٹا مکان آج بوریت لیک ہوٹل کے نام سے جانا جاتا ہے۔,"میر آف ہنزہ کا چھوٹا سا گھر، جو بوریت جھیل کے کنارے واقع ہے، ""میر خان"" کے نام سے جانا جاتا ہے۔ یہ ایک تاریخی عمارت ہے جو مقامی ثقافت اور فن تعمیر کی عکاسی کرتی ہے۔",بوریت لیک,easy,factual,"بوریت جھیل میر آف ہنزہ کے لیے سردیوں میں شکار کی مشہور جگہ تھی۔ جھیل کے کنارے ایک پہاڑی پر میر کے لیے چھوٹا مکان بنایا گیا تھا۔ آج یہ مکان بوریت لیک ہوٹل کے نام سے جانا جاتا ہے

بلتیت قلعہ 700 سال تک ہنزہ کے شاہی خاندان عیاشکتز کا گھر رہا۔ ہنزہ پہلے کنجوت کے نام سے جانی جاتی تھی اور یہ ایک آزاد ریاست تھی جس پر موروثی بادشاہ میر تھم حکومت کرتے تھے۔ 19ویں صدی میں یہ قلعہ گریٹ گیم کا حصہ بنا

بوریت جھیل پاکستان کے گلگت بلتستان کے ضلع ہنزہ میں واقع ہے۔ یہ بالائی ہنزہ میں گوجال کے علاقے غلکین کے قریب حسینی کے شمال مغرب میں واقع ہے۔ جھیل کی سطح سمندر سے اونچائی تقریباً 2,600 میٹر ہے",0.757207572460175,0.678756773471832,0.899757266044617,0.830728113651276,-0.07845079898834295,-0.06902915239334106,False
