id,model,question,true_answer,baseline_answer,rag_answer,difficulty,answer_type,context,f1_baseline_mbert,f1_rag_mbert,f1_baseline_xlm,f1_rag_xlm,f1_delta_mbert,f1_delta_xlm,script_mismatch_diagnostic_only
1,gemma_e2b,وادی ہنزہ کہاں واقع ہے؟,وادی ہنزہ پاکستان کے صوبے گلگت بلتستان میں واقع ہے۔,وادی ہنزہ خیبر پختونخوا کے علاقے میں واقع ہے۔,وادی ہنزہ پاکستان کے صوبے گلگت بلتستان میں واقع ہے۔,easy,factual,"وادی ہنزہ پاکستان کے صوبے گلگت بلتستان میں واقع ایک خوبصورت پہاڑی وادی ہے۔ یہ کوہ قراقرم کے دامن میں دریائے ہنزہ کے کنارے پھیلی ہوئی ہے۔ ہنزہ اپنے شاندار پہاڑی مناظر، پھلوں کے باغات اور قدیم قلعوں کی وجہ سے مشہور ہے اور پاکستان کے مقبول ترین سیاحتی مقامات میں شمار ہوتی ہے

وادی ہنزہ دریائے ہنزہ کے ساتھ پھیلی ہوئی ہے۔ اس کی سرحدیں شمال مغرب میں اشکومن، جنوب مشرق میں شگر، شمال میں افغانستان کے واخان کوریڈور اور شمال مشرق میں چین کے سنکیانگ سے ملتی ہیں۔ یہ وادی ہسپر اور ہنزہ دریاؤں کے سنگم کے بعد نگر ویلی سے مل جاتی ہے۔ اس کی سطح سمندر سے بلندی تقریباً 2438 میٹر ہے۔ جغرافیائی طور پر اسے تین حصوں میں تقسیم کیا جاتا ہے: اپر ہنزہ (گوجال)، سنٹرل ہنزہ اور لوئر ہنزہ (شناکی)

وادی ہنزہ اسلام آباد سے تقریباً 600 سے 650 کلومیٹر کے فاصلے پر واقع ہے۔ سڑک کا سفر رکاوٹوں اور سڑک کے حالات کے مطابق 12 سے 16 گھنٹے تک لگتا ہے اور یہ سفر شاہراہ قراقرم کے ذریعے پہاڑوں، دریاؤں، سرنگوں اور چھوٹے قصبوں سے گزرتا ہے۔ اسلام آباد، لاہور اور راولپنڈی سے گلگت اور ہنزہ کے لیے روزانہ کئی بس سروسز چلتی ہیں جن میں فیصل موورز، سکائی ویز اور کوہستان ایکسپریس شامل ہیں۔ یہ بسیں مسافروں کو گلگت یا ہنزہ کے علی آباد میں اتارتی ہیں جہاں سے مقامی وین یا ٹیکسی کریم آباد تک لے جاتی ہے۔ متبادل طور پر اسلام آباد سے گلگت ایئرپورٹ تک پروازیں بھی دستیاب ہیں جہاں سے ہنزہ 2 سے 3 گھنٹے کی ڈرائیو پر ہے۔ پروازیں موسمی حالات پر منحصر ہیں اور تاخیر یا منسوخی کا شکار ہو سکتی ہیں۔",0.806286633014679,0.999999940395355,0.949652969837189,0.99999988079071,0.19371330738067605,0.05034691095352095,False
9,gemma_e2b,ہنزہ کی مقدس چٹان اور وادی ہنزہ کی دیگر چٹانوں پر کون سے رسم الخط ملتے ہیں؟,وادی ہنزہ کی چٹانوں پر قدیم براہمی رسم الخط میں تحریریں موجود ہیں، جبکہ ہنزہ کی مقدس چٹان پر خاص طور پر خروشتی رسم الخط میں تحریریں پائی جاتی ہیں۔,ہنزہ کی مقدس چٹان اور وادی ہنزہ کی دیگر چٹانوں پر بنیادی طور پر قدیم خطاطی کے نشانات اور تاریخی نقش و نگار پائے جاتے ہیں جو اس علاقے کی قدیم تہذیبوں سے تعلق ظاہر کرتے ہیں۔ ان میں اکثر قدیم خطاطی کے انداز، مذہبی علامتیں اور تاریخی واقعات کے اشارے شامل ہوتے ہیں۔,ہنزہ کی مقدس چٹان پر خروشتی رسم الخط میں تحریریں موجود ہیں جن میں ساکا اور پہلوا حکمرانوں کے نام درج ہیں۔ اس چٹان پر کُشان دور کی تحریریں بھی موجود ہیں جو ہنزہ اور گلگت کے علاقوں پر ساکا اور کُشان کی بالادستی کو ظاہر کرتی ہیں۔ وادی ہنزہ میں قدیم براہمی رسم الخط میں چٹانوں پر تحریریں موجود ہیں جو بدھ,hard,multi-source,"ہنزہ کی مقدس چٹان پر گھڑ سواروں اور آئبیکس کی تصویریں (پیٹروگلفس) موجود ہیں اور اس پر خروشتی رسم الخط میں تحریریں بھی ہیں جن میں ساکا اور پہلوا حکمرانوں کے نام درج ہیں۔ اس چٹان پر کُشان دور کی تحریریں بھی موجود ہیں جو ہنزہ اور گلگت کے علاقوں پر ساکا اور کُشان کی بالادستی کو ظاہر کرتی ہیں

اسلام سے پہلے وادی ہنزہ میں بدھ مت اور کسی حد تک بون مذہب رائج تھے۔ اس علاقے میں بدھ مت کے آثار موجود ہیں جیسے ہنزہ کی مقدس چٹان۔ بعد میں زیادہ تر آبادی نے اسلام قبول کر لیا اور زیادہ تر لوگ اسماعیلی مسلک سے تعلق رکھتے ہیں۔ وادی ہنزہ میں قدیم براہمی رسم الخط میں چٹانوں پر تحریریں موجود ہیں جو بدھ راہبوں نے عبادت اور ثقافت کے اظہار کے لیے بنائیں

ضلع ہنزہ 11,695 مربع کلومیٹر کے رقبے پر محیط ایک سابقہ شاہی ریاست ہے۔ یہاں التیت اور بلتیت قلعے، تاریخی پولو گراؤنڈ، واچ ٹاورز اور مساجد جیسے ثقافتی ورثے موجود ہیں۔ گنیش میں مشہور ہلدیکش مقدس چٹانیں بھی اہم آثار قدیمہ میں شامل ہیں",0.745602905750275,0.804219722747803,0.909671545028687,0.929519414901733,0.058616816997527965,0.019847869873045987,False
11,gemma_e2b,وادی ہنزہ کی جغرافیائی سرحدیں اور اس کا محلِ وقوع اسے تاریخی تجارتی راستوں کے لیے کیوں اہم بناتا تھا؟,وادی ہنزہ کی سرحدیں اشکومن، شگر، واخان کوریڈور اور سنکیانگ سے ملتی ہیں۔ یہ وسطی ایشیا اور برصغیر کو ملانے والے تجارتی راستوں کے نیٹ ورک میں اہم تھی اور بدھ راہبوں کے لیے محفوظ راستہ بھی فراہم کرتی تھی۔,وادی ہنزہ کی جغرافیائی سرحدیں اسے شمالی ہندوستان، افغانستان اور پاکستان کے درمیان ایک اہم گزرگاہ بناتی تھیں جو قدیم زمانے سے ہی تاریخی تجارتی راستوں کے لیے انتہائی اہم تھی۔ یہ وادی ایک تنگ گلی کے طور پر کام کرتی تھی جس کے ذریعے مختلف علاقوں کے درمیان سامان اور افراد کا تبادلہ ہوتا تھا۔ اس کی اہمیت اس لیے تھی کیونکہ یہ روایتی طور پر سوات اور دیگر علاقوں سے نکلنے والے سامان کو دریائے سندھ کے,وادی ہنزہ پاکستان کے صوبے گلگت بلتستان میں واقع ایک خوبصورت پہاڑی وادی ہے جو کوہ قراقرم کے دامن میں دریائے ہنزہ کے کنارے پھیلی ہوئی ہے۔ قراقرم ہائی وے کے قائم ہونے سے پہلے یہ گزرگاہیں پاکستان اور ہندوستان کو تاشقرغان سے ملانے والے کارواں کے روایتی راستوں کے طور پر استعمال ہوتی تھیں اور یہ راستے تجارت اور سفر کے لیے تاریخی اہمیت,hard,multi-source,"وادی ہنزہ وسطی ایشیا اور برصغیر کو ملانے والے تجارتی راستوں کے نیٹ ورک میں اہم تھی۔ یہ بدھ راہبوں کے لیے محفوظ راستہ بھی فراہم کرتی تھی اور بدھ مت کے پھیلاؤ میں کردار ادا کرتی تھی۔ مورخ احمد حسن دانی کے مطابق ساکا (سکھی) لوگوں نے قراقرم راستے کے ذریعے ٹیکسلا پر حملہ کیا-

قراقرم ہائی وے کے قائم ہونے سے پہلے یہ گزرگاہیں پاکستان اور ہندوستان کو تاشقرغان سے ملانے والے کارواں کے روایتی راستوں کے طور پر استعمال ہوتی تھیں۔ یہ راستے تجارت اور سفر کے لیے تاریخی اہمیت کے حامل تھے

وادی ہنزہ پاکستان کے صوبے گلگت بلتستان میں واقع ایک خوبصورت پہاڑی وادی ہے۔ یہ کوہ قراقرم کے دامن میں دریائے ہنزہ کے کنارے پھیلی ہوئی ہے۔ ہنزہ اپنے شاندار پہاڑی مناظر، پھلوں کے باغات اور قدیم قلعوں کی وجہ سے مشہور ہے اور پاکستان کے مقبول ترین سیاحتی مقامات میں شمار ہوتی ہے",0.711043357849121,0.714823961257935,0.881533443927765,0.87764447927475,0.0037806034088140317,-0.0038889646530150257,False
14,gemma_e2b,تجارتی لحاظ سے وادی ہنزہ کن دو خطوں کو ملاتی تھی؟,وادی ہنزہ وسطی ایشیا اور برصغیر کو ملانے والے تجارتی راستوں کے نیٹ ورک میں اہم تھی۔,وادی ہنزہ تجارتی لحاظ سے سندھ اور بلوچستان کے درمیان ایک اہم راستہ تھی۔,وادی ہنزہ وسطی ایشیا اور برصغیر کو ملانے والے تجارتی راستوں کے نیٹ ورک میں اہم تھی۔,easy,factual,"وادی ہنزہ وسطی ایشیا اور برصغیر کو ملانے والے تجارتی راستوں کے نیٹ ورک میں اہم تھی۔ یہ بدھ راہبوں کے لیے محفوظ راستہ بھی فراہم کرتی تھی اور بدھ مت کے پھیلاؤ میں کردار ادا کرتی تھی۔ مورخ احمد حسن دانی کے مطابق ساکا (سکھی) لوگوں نے قراقرم راستے کے ذریعے ٹیکسلا پر حملہ کیا-

وادی ہنزہ دریائے ہنزہ کے ساتھ پھیلی ہوئی ہے۔ اس کی سرحدیں شمال مغرب میں اشکومن، جنوب مشرق میں شگر، شمال میں افغانستان کے واخان کوریڈور اور شمال مشرق میں چین کے سنکیانگ سے ملتی ہیں۔ یہ وادی ہسپر اور ہنزہ دریاؤں کے سنگم کے بعد نگر ویلی سے مل جاتی ہے۔ اس کی سطح سمندر سے بلندی تقریباً 2438 میٹر ہے۔ جغرافیائی طور پر اسے تین حصوں میں تقسیم کیا جاتا ہے: اپر ہنزہ (گوجال)، سنٹرل ہنزہ اور لوئر ہنزہ (شناکی)

وادی ہنزہ کی آب و ہوا اور بلندی مختلف پھلوں اور خشک میوہ جات کی کاشت کے لیے موزوں سمجھی جاتی ہے۔ یہاں بادام، اخروٹ، خوبانی، انگور اور مقامی قسم کے سفرجل پیدا کیے جاتے ہیں۔ مقامی دکانوں اور کریم آباد بازار میں یہ اشیا عام طور پر دستیاب ہوتی ہیں۔ ان میں سے بعض مصنوعات پاکستان کے دیگر شہروں تک بھی پہنچائی جاتی ہیں جس کے باعث مقامی منڈیوں میں ان کی قیمتیں نسبتاً مناسب رہتی ہیں۔",0.814336240291595,1.0,0.934061229228973,0.99999988079071,0.18566375970840499,0.06593865156173706,False
33,gemma_e2b,عطا آباد جھیل پر جانے والے سیاح کیا کیا کر سکتے ہیں؟,عطا آباد جھیل پر سیاح بوٹنگ، جیٹ سکینگ اور فشینگ جیسی سرگرمیوں سے لطف اندوز ہو سکتے ہیں۔,عطا آباد جھیل پر جانے والے سیاح نظارے دیکھنے، مقامی ثقافت کا مشاہدہ کرنے اور پہاڑی علاقوں کی خوبصورتی سے لطف اندوز ہونے کے لیے جا سکتے ہیں۔ وہ جھیل کے کنارے گھوم سکتے ہیں اور قدرتی مناظر کی تصاویر لے سکتے ہیں۔ یہاں وہ مقامی لوگوں سے مل سکتے ہیں تاکہ ان کی زندگی اور روایات کے بارے میں جان سکیں۔ وہ مقامی دستکاری اور اشیاء خرید سکتے ہیں۔ سردیوں میں برف پوش مناظر,عطا آباد جھیل پر بوٹنگ، جیٹ سکینگ اور فشینگ جیسی سرگرمیاں دستیاب ہیں۔ دن کے وقت سیاح جھیل کا دورہ کر سکتے ہیں جبکہ کنارے پر مختصر کشتی کی سواریاں بھی دستیاب ہیں۔,medium,list-recall,"عطا آباد جھیل اپنے چمکدار نیلے پانی اور آبی کھیلوں کی وجہ سے سب سے مشہور سیاحتی مقام ہے۔ التیت اور بلتیت قلعے تاریخ سے محبت کرنے والوں کے لیے منفرد مقامات ہیں۔ ڈوئکر گاؤں طلوع اور غروب آفتاب دیکھنے کے لیے بہترین جگہ ہے۔ عطا آباد جھیل پر بوٹنگ، جیٹ سکینگ اور فشینگ جیسی سرگرمیاں دستیاب ہیں۔ وادی پاسو اور گلمٹ ویلی بھی اپنے دلکش مناظر کے لیے مشہور ہیں

عطاء آباد جھیل، جسے اٹہ آباد جھیل بھی کہا جاتا ہے، 2010 میں ہونے والے لینڈ سلائیڈ کے بعد وجود میں آئی۔ یہ جھیل ہنزہ کے قریب واقع ہے اور اس کے اطراف قراقرم کے بلند اور چٹانی پہاڑی مناظر پائے جاتے ہیں۔ جھیل کا نیلا پانی اس کی نمایاں خصوصیات میں شمار ہوتا ہے۔ دن کے وقت سیاح جھیل کا دورہ کر سکتے ہیں جبکہ کنارے پر مختصر کشتی کی سواریاں بھی دستیاب ہیں۔

عطاء آباد جھیل کے کنارے کئی کیمپنگ زونز موجود ہیں جہاں مقامی دکانداروں سے کیمپنگ کا سامان اور کشتیاں کرائے پر لی جا سکتی ہیں۔ بہترین تجربے کے لیے غروب آفتاب سے پہلے پہنچنا تجویز کیا جاتا ہے۔ اس علاقے میں موبائل نیٹ ورک کا سگنل کمزور ہے۔ جھیل کے قریب چھوٹے کیفے گرم کھانا فراہم کرتے ہیں۔",0.703364253044128,0.848321974277496,0.888920187950134,0.95624965429306,0.14495772123336803,0.06732946634292591,False
39,gemma_e2b,درہ خنجراب سردیوں میں کیوں بند رہتا ہے؟,درہ خنجراب سردیوں میں سخت موسم کی وجہ سے بند رہتا ہے۔,درہ خنجراب سردیوں میں برف باری اور شدید ٹھنڈ کے باعث بند رہتا ہے۔ اس موسم میں پہاڑی راستے برف سے ڈھک جاتے ہیں جس کی وجہ سے سڑکوں پر گاڑی چلانا خطرناک ہو جاتا ہے اور راستوں کی مرمت یا صفائی مشکل ہو جاتی ہے۔ اس کے علاوہ شدید سردی کے باعث لوگوں کا سفر اور سرگرمیاں محدود ہو جاتی ہیں جس کی وجہ سے سیاحوں کی آمدورفت بھی کم ہو جاتی ہے۔,سردیوں میں شدید برف باری کی وجہ سے خنجراب پاس بند رہتا ہے,easy,factual,"خنجراب نام مقامی وخی زبان کے دو الفاظ سے ماخوذ ہے جن کا مطلب خون کی وادی ہے۔ یہ نام اس علاقے کے مشکل خطوں اور تاریخ کی عکاسی کرتا ہے۔ درہ سردیوں میں سخت موسم کی وجہ سے بند رہتا ہے

خنجراب درہ پاک چین سرحد پر 16,000 فٹ سے کچھ زیادہ یعنی تقریباً 4,693 میٹر کی بلندی پر واقع ہے۔ درے تک جانے والی سڑک کے آخری حصے میں تیز موڑ ہیں اور سڑک کی سطح برفیلی ہو سکتی ہے۔ راستے میں ایک پولیس چیک پوسٹ موجود ہے۔ پارکنگ ایریا سے سرحدی دروازہ تقریباً 500 میٹر آگے ہے۔ یہ دروازہ ایک بڑا سوویت طرز کا چوکور پتھر کا ڈھانچہ ہے جو چین کے صوبے سنکیانگ کے داخلے کی نشاندہی کرتا ہے۔ درے پر درجہ حرارت منفی 25 ڈگری سیلسیس تک گر سکتا ہے۔

سوست تک پہنچنے کے لیے اسلام آباد سے گلگت پرواز کر کے شاہراہ قراقرم کے ذریعے سوست پہنچا جا سکتا ہے۔ چین کی جانب سے کاشغر یا ارومچی سے پرواز کر کے خنجراب پاس عبور کر کے بھی سوست پہنچا جا سکتا ہے۔ سردیوں میں شدید برف باری کی وجہ سے خنجراب پاس بند رہتا ہے",0.758788883686066,0.870350301265717,0.906637966632843,0.937416851520538,0.11156141757965099,0.03077888488769498,False
41,gemma_e2b,سوست قراقرم ہائی وے پر کس حیثیت سے جانا جاتا ہے؟,سوست قراقرم ہائی وے پر خنجراب پاس سے پہلے واقع آخری پاکستانی قصبہ ہے۔,سوست قراقرم ہائی وے پاکستان کے اہم شاہراہوں میں سے ایک ہے جو شمالی علاقہ جات کو جوڑتی ہے اور اس کی اہمیت نقل و حمل اور تجارتی سرگرمیوں کے لیے بہت زیادہ ہے۔,سوست قراقرم ہائی وے پر آخری پاکستانی قصبہ ہے جو خنجراب پاس سے پہلے واقع ہے۔,easy,factual,"سوست پاکستان کے گلگت بلتستان کے ضلع گوجال ہنزہ میں سطح سمندر سے 2,800 میٹر کی بلندی پر واقع ایک خوبصورت سیاحتی مقام ہے۔ یہ شاہراہ قراقرم پر گلگت شہر سے 184 کلومیٹر کے فاصلے پر واقع ہے۔ سوست قراقرم ہائی وے پر آخری پاکستانی قصبہ ہے جو خنجراب پاس سے پہلے واقع ہے

سوست تک پہنچنے کے لیے اسلام آباد سے گلگت پرواز کر کے شاہراہ قراقرم کے ذریعے سوست پہنچا جا سکتا ہے۔ چین کی جانب سے کاشغر یا ارومچی سے پرواز کر کے خنجراب پاس عبور کر کے بھی سوست پہنچا جا سکتا ہے۔ سردیوں میں شدید برف باری کی وجہ سے خنجراب پاس بند رہتا ہے

سوست، خنجراب درے کی جانب جانے والے مسافروں کے لیے ایک اہم پڑاؤ ہے جہاں لذیذ روایتی پاکستانی کھانے ملتے ہیں۔ جو لوگ گوشت پرہیز کرتے ہیں یا سبزیاں پسند کرتے ہیں، ان کے لیے یہاں راجما، پیلی اور کالی دال، اور آلو کا سالن دستیاب ہے۔ یہ کھانے عموماً گرما گرم روٹی، تازہ لال پیاز اور ہری مرچ کے ساتھ پیش کیے جاتے ہیں۔ قصبے میں موجود ایک بڑا پیٹرول اسٹیشن یہاں کی نمایاں نشانی ہے",0.72582221031189,0.951733291149139,0.872165441513062,0.967759549617767,0.22591108083724898,0.09559410810470503,False
48,gemma_e2b,درہ خنجراب کو 'گیٹ وے ٹو چائنا' کیوں کہا جاتا ہے اور اس کی جغرافیائی خصوصیت کیا ہے؟,"درہ خنجراب 4,693 میٹر کی بلندی پر واقع دنیا کی بلند ترین بین الاقوامی سرحدی گزرگاہوں میں سے ایک ہے جو پاکستان کے گلگت بلتستان کو چین کے سنکیانگ سے ملاتا ہے، اس لیے اسے 'گیٹ وے ٹو چائنا' کہا جاتا ہے۔",درہ خنجراب کو گیٹ وے ٹو چائنا اس لیے کہا جاتا ہے کیونکہ یہ چین کے ساتھ ایک اہم تجارتی اور جغرافیائی راستہ فراہم کرتا ہے۔ اس کی جغرافیائی خصوصیت یہ ہے کہ یہ پاکستان اور افغانستان کے درمیان ایک اہم گزرگاہ ہے جو جنوبی ایشیا اور چین کے درمیان تجارت اور سفری رابطوں کا مرکز بنتی ہے۔ یہ علاقہ تاریخی طور پر برصغیر اور وسطی ایشیا کے درمیان ایک اہم رابطہ نقطہ رہا ہے,"درہ خنجراب کو گیٹ وے ٹو چائنا کہا جاتا ہے کیونکہ یہ پاکستان کے گلگت بلتستان کو چین کے سنکیانگ سے ملاتا ہے۔ اس کی جغرافیائی خصوصیت یہ ہے کہ یہ درہ پاک چین سرحد پر 16,000 فٹ سے کچھ زیادہ یعنی تقریباً 4,693 میٹر کی بلندی پر واقع ہے۔",medium,list-recall,"درہ خنجراب پاکستان کے گلگت بلتستان کے ضلع ہنزہ کے گاؤں سوست میں واقع ہے۔ یہ 4,693 میٹر کی بلندی پر واقع دنیا کی بلند ترین بین الاقوامی سرحدی گزرگاہوں میں سے ایک ہے۔ یہ درہ پاکستان کے گلگت بلتستان کو چین کے سنکیانگ سے ملاتا ہے اور اسے ""گیٹ وے ٹو چائنا"" بھی کہا جاتا ہے

خنجراب نام مقامی وخی زبان کے دو الفاظ سے ماخوذ ہے جن کا مطلب خون کی وادی ہے۔ یہ نام اس علاقے کے مشکل خطوں اور تاریخ کی عکاسی کرتا ہے۔ درہ سردیوں میں سخت موسم کی وجہ سے بند رہتا ہے

خنجراب درہ پاک چین سرحد پر 16,000 فٹ سے کچھ زیادہ یعنی تقریباً 4,693 میٹر کی بلندی پر واقع ہے۔ درے تک جانے والی سڑک کے آخری حصے میں تیز موڑ ہیں اور سڑک کی سطح برفیلی ہو سکتی ہے۔ راستے میں ایک پولیس چیک پوسٹ موجود ہے۔ پارکنگ ایریا سے سرحدی دروازہ تقریباً 500 میٹر آگے ہے۔ یہ دروازہ ایک بڑا سوویت طرز کا چوکور پتھر کا ڈھانچہ ہے جو چین کے صوبے سنکیانگ کے داخلے کی نشاندہی کرتا ہے۔ درے پر درجہ حرارت منفی 25 ڈگری سیلسیس تک گر سکتا ہے۔",0.697812676429749,0.818139851093292,0.880156815052032,0.930495500564575,0.12032717466354304,0.05033868551254295,False
50,gemma_e2b,درہ خنجراب کے نام کا مطلب اور اس کی موسمی صورتحال اس علاقے کے بارے میں کیا بتاتے ہیں؟,خنجراب کا مطلب خون کی وادی ہے جو اس علاقے کے مشکل خطوں کی عکاسی کرتا ہے اور یہی سختی سردیوں میں درے کی بندش کی وجہ بھی بنتی ہے۔,درہ خنجراب کا نام درہ اور خنجر سے ماخوذ ہے جو اس علاقے کی جغرافیائی خصوصیات کو ظاہر کرتا ہے۔ موسمی صورتحال کے حوالے سے یہ علاقہ زیادہ تر خشک اور نیم خشک آب و ہوا کا حامل ہوتا ہے جہاں گرمیاں شدید گرم اور خشک ہوتی ہیں جبکہ سردیاں ٹھنڈی ہو سکتی ہیں۔ بارشیں کم ہوتی ہیں اور موسم زیادہ تر خشک رہتا ہے۔,خنجراب نام مقامی وخی زبان کے دو الفاظ سے ماخوذ ہے جن کا مطلب خون کی وادی ہے۔ یہ نام اس علاقے کے مشکل خطوں اور تاریخ کی عکاسی کرتا ہے۔ درہ سردیوں میں سخت موسم کی وجہ سے بند رہتا ہے۔,medium,list-recall,"خنجراب نام مقامی وخی زبان کے دو الفاظ سے ماخوذ ہے جن کا مطلب خون کی وادی ہے۔ یہ نام اس علاقے کے مشکل خطوں اور تاریخ کی عکاسی کرتا ہے۔ درہ سردیوں میں سخت موسم کی وجہ سے بند رہتا ہے

خنجراب درے کی طرف سفر کرتے ہوئے بلندی میں اضافے کے ساتھ ہوا کا دباؤ اور آکسیجن کی مقدار کم ہو جاتی ہے۔ اس صورتِ حال میں مسافروں کو پانی مناسب مقدار میں پینے، آہستہ چلنے اور ہلکی غذا یا خشک میوہ جات استعمال کرنے کا مشورہ دیا جاتا ہے۔ مقامی روایت کے مطابق خوبانی بلندی سے متعلق چکر آنے کی کیفیت کم کرنے میں مددگار سمجھی جاتی ہے۔

درہ خنجراب پاکستان کے گلگت بلتستان کے ضلع ہنزہ کے گاؤں سوست میں واقع ہے۔ یہ 4,693 میٹر کی بلندی پر واقع دنیا کی بلند ترین بین الاقوامی سرحدی گزرگاہوں میں سے ایک ہے۔ یہ درہ پاکستان کے گلگت بلتستان کو چین کے سنکیانگ سے ملاتا ہے اور اسے ""گیٹ وے ٹو چائنا"" بھی کہا جاتا ہے",0.705647170543671,0.79075014591217,0.878914415836334,0.925280570983887,0.08510297536849898,0.046366155147553045,False
52,gemma_e2b,بوریت جھیل کے کنارے میر آف ہنزہ کے لیے بنایا گیا چھوٹا مکان آج کس نام سے جانا جاتا ہے؟,جھیل کے کنارے پہاڑی پر میر کے لیے بنایا گیا چھوٹا مکان آج بوریت لیک ہوٹل کے نام سے جانا جاتا ہے۔,میر آف ہنزہ کے لیے بوریت جھیل کے کنارے بنایا گیا چھوٹا مکان اب بھی اسی نام سے جانا جاتا ہے۔,بوریت لیک ہوٹل,easy,factual,"بوریت جھیل میر آف ہنزہ کے لیے سردیوں میں شکار کی مشہور جگہ تھی۔ جھیل کے کنارے ایک پہاڑی پر میر کے لیے چھوٹا مکان بنایا گیا تھا۔ آج یہ مکان بوریت لیک ہوٹل کے نام سے جانا جاتا ہے

بلتیت قلعہ 700 سال تک ہنزہ کے شاہی خاندان عیاشکتز کا گھر رہا۔ ہنزہ پہلے کنجوت کے نام سے جانی جاتی تھی اور یہ ایک آزاد ریاست تھی جس پر موروثی بادشاہ میر تھم حکومت کرتے تھے۔ 19ویں صدی میں یہ قلعہ گریٹ گیم کا حصہ بنا

بوریت جھیل پاکستان کے گلگت بلتستان کے ضلع ہنزہ میں واقع ہے۔ یہ بالائی ہنزہ میں گوجال کے علاقے غلکین کے قریب حسینی کے شمال مغرب میں واقع ہے۔ جھیل کی سطح سمندر سے اونچائی تقریباً 2,600 میٹر ہے",0.869198083877563,0.702835440635681,0.930169939994812,0.861660718917847,-0.166362643241882,-0.068509221076965,False
